MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011BZ	1011BZ	ELK	KVB	28	96,43	92,86	43	1x25	3759	78,57	78,57	1
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CA	1011CA	ELK	KVB	37	100	56,76	51	3x25	1680	54,05	54,05	1
Liander N.V.	GAS Liander	Oude Waal	1011CA	1011CA	GAS	KVB	24	100	79,17	79	G4	1202	0	75	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CB	1011CB	ELK	KVB	25	100	80	40	1x35	2406	76	76	1
	GAS Liander	Oude Waal	1011CB	1011CB	GAS	KVB	18	100	94,44	100	G4	1446	0	94,44	
	GAS Liander	Oude Waal	1011CC	1011CC	GAS	KVB	19	100	89,47	95	G4	1599	0	52,63	
	Liander N.V. (NW)	Oude Waal	1011CC	1011CC	ELK	KVB	21	100	90,48	43	1x25	2294	61,9	57,14	1
	GAS Liander	Oude Waal	1011CD	1011CD	GAS	KVB	16	100	100	94	G4	1315	0	93,75	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot  94 to	1011CD	1011CD	ELK	KVB	19	100	94,74	63	1x25	3514	89,47	89,47	1
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CE	1011CE	ELK	KVB	12	83,33	75	42	3x25	2500	58,33	58,33	1,5
	GAS Liander	Oude Waal	1011CE	1011CH	GAS	KVB	34	100	97,06	88	G4	2168	0	23,53	
Liander N.V.	Liander N.V. (NW)	Oude Waal AB	1011CG	1011CH	ELK	KVB	28	100	92,86	36	1x35	10268	17,86	3,57	1,2
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CJ	1011CJ	ELK	KVB	16	100	100	75	1x25	7333	18,75	6,25	1,1
	GAS Liander	Binnen Bantammerstraat	1011CJ	1011CJ	GAS	KVB	15	100	100	100	G4	1225	0	6,67	
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CK	1011CK	ELK	KVB	14	100	100	86	1x25	2230	0	0	1
	GAS Liander	Binnen Bantammerstraat	1011CK	1011CK	GAS	KVB	12	100	100	100	G4	1248	0	0	
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CL	1011CL	ELK	KVB	10	100	100	80	1x25	1682	0	0	1
Liander N.V.	GAS Liander	Binnen Bantammerstraat	1011CL	1011CM	GAS	KVB	68	100	91,18	94	G4	1119	0	42,65	
Liander N.V.	Liander N.V. (NW)	Nieuwe Jonkerstraat	1011CM	1011CM	ELK	KVB	72	100	81,94	35	3x25	2627	48,61	45,83	1
	Liander N.V. (NW)	Nieuwe Ridderstraat	1011CN	1011CN	ELK	KVB	13	100	84,62	54	3x25	5505	61,54	46,15	1,2
	GAS Liander	Nieuwe Ridderstraat	1011CN	1011CN	GAS	KVB	10	100	90	90	G4	2417	0	60	
Liander N.V.	Liander N.V. (NW)	Nieuwe Ridderstraat	1011CP	1011CR	ELK	KVB	21	100	95,24	57	1x25	2095	19,05	14,29	1,1
	GAS Liander	Nieuwe Ridderstraat	1011CP	1011CR	GAS	KVB	16	100	100	88	G4	2010	0	12,5	
	Liander N.V. (NW)	Recht Boomssloot	1011CS	1011CS	ELK	KVB	26	100	96,15	69	1x25	1735	0	0	1
	GAS Liander	Recht Boomssloot	1011CS	1011CS	GAS	KVB	22	100	100	86	G4	1396	0	0	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot	1011CT	1011CT	ELK	KVB	18	100	88,89	44	1x25	2848	0	0	1
Liander N.V.	GAS Liander	Recht Boomssloot	1011CT	1011CT	GAS	KVB	17	100	94,12	100	G4	1276	0	0	
	GAS Liander	Recht Boomssloot	1011CV	1011CV	GAS	KVB	17	100	100	100	G4	1135	0	0	
	Liander N.V. (NW)	Recht Boomssloot	1011CV	1011CV	ELK	KVB	18	100	100	83	1x25	1739	0	0	1,1
	GAS Liander	Recht Boomssloot	1011CW	1011CW	GAS	KVB	13	100	100	100	G4	1079	0	0	
	Liander N.V. (NW)	Recht Boomssloot	1011CW	1011CW	ELK	KVB	15	100	93,33	53	1x25	2502	0	0	1
	Liander N.V. (NW)	Recht Boomssloot	1011CX	1011CX	ELK	KVB	19	100	100	68	1x25	2329	0	0	1
	GAS Liander	Recht Boomssloot	1011CX	1011CX	GAS	KVB	19	100	100	95	G4	988	0	0	
	Liander N.V. (NW)	Recht Boomssloot	1011CZ	1011CZ	ELK	KVB	22	81,82	86,36	59	1x25	2415	22,73	22,73	1,1
	GAS Liander	Recht Boomssloot	1011CZ	1011CZ	GAS	KVB	19	100	100	95	G4	1199	0	21,05	
	Liander N.V. (NW)	Lastageweg	1011DB	1011DB	ELK	KVB	10	100	100	90	1x25	4311	10	0	1,1
	GAS Liander	Lastageweg	1011DB	1011DD	GAS	KVB	109	100	97,25	98	G4	864	0	88,99	
	Liander N.V. (NW)	J.W. Siebbeleshof	1011DC	1011DD	ELK	KVB	126	100	97,62	90	1x35	4130	97,62	96,83	2
	Liander N.V. (NW)	W Frederik Hermansstr	1011DG	1011DG	ELK	KVB	87	100	98,85	93	1x35	3358	100	98,85	
	Liander N.V. (NW)	Oosterdoksstraat	1011DK	1011DL	ELK	KVB	68	100	94,12	78	1x35	5727	48,53	48,53	1
	GAS Liander	Oosterdokskade	1011DL	1011EA	GAS	KVB	46	100	95,65	85	G4	1739	0	26,09	
Liander N.V.	Liander N.V. (NW)	Dijkdwarsstraat	1011DZ	1011EA	ELK	KVB	52	100	80,77	69	1x25	2946	26,92	21,15	1,1
	Liander N.V. (NW)	Recht Boomssloot	1011EB	1011EB	ELK	KVB	24	100	100	83	1x25	1575	58,33	58,33	1
	GAS Liander	Recht Boomssloot	1011EB	1011EB	GAS	KVB	21	100	100	100	G4	896	0	57,14	
Liander N.V.	GAS Liander	Recht Boomssloot	1011EC	1011EC	GAS	KVB	18	100	88,89	67	G4	2565	0	5,56	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot	1011EC	1011EC	ELK	KVB	19	100	89,47	47	1x25	6244	21,05	5,26	1,2
	Liander N.V. (NW)	Recht Boomssloot	1011ED	1011ED	ELK	KVB	14	100	100	86	1x25	1859	14,29	14,29	1
	GAS Liander	Recht Boomssloot	1011ED	1011ED	GAS	KVB	12	100	100	92	G4	1073	0	0	
	Liander N.V. (NW)	Montelbaanstraat	1011EE	1011EE	ELK	KVB	16	100	100	100	1x25	1841	0	0	1
	GAS Liander	Montelbaanstraat	1011EE	1011EE	GAS	KVB	16	100	100	100	G4	894	0	0	
	GAS Liander	Montelbaanstraat	1011EG	1011EG	GAS	KVB	21	100	100	95	G4	2917	0	0	
	Liander N.V. (NW)	Montelbaanstraat	1011EG	1011EG	ELK	KVB	22	100	95,45	82	1x25	1794	0	0	1
	Liander N.V. (NW)	Geldersekade	1011EH	1011EH	ELK	KVB	39	100	94,87	74	1x25	3391	28,21	28,21	1,1
	GAS Liander	Geldersekade	1011EH	1011EH	GAS	KVB	34	100	97,06	91	G4	1325	0	26,47	
	GAS Liander	Geldersekade	1011EJ	1011EJ	GAS	KVB	34	100	100	94	G4	1511	0	2,94	
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EJ	1011EJ	ELK	KVB	46	100	89,13	41	1x25	5496	10,87	2,17	1,1
	GAS Liander	Geldersekade	1011EK	1011EK	GAS	KVB	23	100	91,3	87	G4	2793	0	4,35	
Liander N.V.	Liander N.V. (NW)	geldersekd	1011EK	1011EK	ELK	KVB	27	100	96,3	56	1x25	6430	7,41	3,7	1,1
Liander N.V.	GAS Liander	Geldersekade	1011EL	1011EL	GAS	KVB	37	100	89,19	89	G4	1270	0	10,81	
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EL	1011EL	ELK	KVB	47	100	87,23	49	1x25	4921	19,15	10,64	1,1
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EM	1011EM	ELK	KVB	23	100	86,96	48	1x25	5697	13,04	4,35	1,1
	GAS Liander	Geldersekade	1011EM	1011EM	GAS	KVB	15	100	93,33	80	G4	2618	0	0	
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EN	1011EN	ELK	KVB	30	100	96,67	70	1x25	6255	20	10	1,2
	GAS Liander	Geldersekade	1011EN	1011EN	GAS	KVB	25	100	100	92	G4	2751	0	4	
	Liander N.V. (NW)	Waalsteeg	1011ER	1011ER	ELK	KVB	10	100	100	40	1x25	2687	50	50	1
	GAS Liander	Waalsteeg	1011ER	1011ER	GAS	KVB	10	100	100	100	G4	1567	0	50	
	GAS Liander	Koningsstraat	1011ES	1011ET	GAS	KVB	38	100	100	97	G4	1498	0	7,89	
	Liander N.V. (NW)	Koningsstraat	1011ES	1011ET	ELK	KVB	42	100	100	60	1x25	4560	23,81	11,9	1,1
	Liander N.V. (NW)	Koningsstraat	1011EV	1011EW	ELK	KVB	47	100	100	45	1x35	3654	31,91	29,79	1
	GAS Liander	Koningsstraat	1011EV	1011EW	GAS	KVB	44	100	97,73	98	G4	1271	0	27,27	
	GAS Liander	Korte Koningsstraat	1011EX	1011EX	GAS	KVB	25	100	100	96	G4	1226	0	16	
	Liander N.V. (NW)	Korte Koningsstraat	1011EX	1011EX	ELK	KVB	27	100	100	63	1x25	4416	25,93	22,22	1,2
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011EZ	1011EZ	ELK	KVB	13	100	69,23	46	3x25	1850	7,69	7,69	1
	GAS Liander	Korte Koningsstraat	1011EZ	1011GA	GAS	KVB	31	100	96,77	97	G4	1090	0	38,71	
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011GA	1011GA	ELK	KVB	28	100	92,86	61	1x25	2294	64,29	53,57	1,4
	GAS Liander	Korte Koningsdwarsstraat	1011GB	1011GD	GAS	KVB	60	100	98,33	97	G4	1186	0	81,67	
Liander N.V.	Liander N.V. (NW)	Korte Koningsdwarsstraat	1011GB	1011GC	ELK	KVB	21	100	76,19	38	1x25	1827	71,43	71,43	1
Liander N.V.	Liander N.V. (NW)	Keizersstraat	1011GD	1011GD	ELK	KVB	52	96,15	96,15	65	1x35	2405	84,62	80,77	1,3
	Liander N.V. (NW)	Korte Keizersstraat	1011GG	1011GG	ELK	KVB	22	100	100	77	1x35	1455	68,18	68,18	1
	GAS Liander	Korte Keizersstraat	1011GG	1011GG	GAS	KVB	19	100	100	100	G4	1231	0	63,16	
	Liander N.V. (NW)	Korte Keizersstraat	1011GH	1011GH	ELK	KVB	24	100	100	88	1x25	1489	79,17	75	1,2
	GAS Liander	Korte Keizersstraat	1011GH	1011GH	GAS	KVB	20	100	100	90	G4	1152	0	75	
	Liander N.V. (NW)	Korte Keizersdwarsstraat	1011GJ	1011GJ	ELK	KVB	18	100	100	83	1x25	2327	83,33	83,33	1
	GAS Liander	Korte Keizersdwarsstraat	1011GJ	1011GJ	GAS	KVB	16	100	100	100	G4	1279	0	81,25	
	GAS Liander	Kleersloot	1011GK	1011GL	GAS	KVB	79	100	100	99	G4	776	0	69,62	
	Liander N.V. (NW)	Kleersloot	1011GK	1011GL	ELK	KVB	92	100	96,74	78	1x25	1722	67,39	67,39	1
	GAS Liander	Korte Dijkstraat	1011GM	1011GM	GAS	KVB	18	100	100	100	G4	1359	0	88,89	
	Liander N.V. (NW)	Korte Dijkstraat	1011GM	1011GM	ELK	KVB	21	100	95,24	62	1x25	2182	85,71	85,71	1
	Liander N.V. (NW)	Brandewijnsteeg	1011GN	1011GN	ELK	KVB	26	100	96,15	96	1x25	1734	65,38	65,38	1
	GAS Liander	Brandewijnsteeg	1011GN	1011GN	GAS	KVB	26	100	96,15	96	G4	1518	0	65,38	
	GAS Liander	Krom Boomssloot	1011GP	1011GR	GAS	KVB	37	100	100	100	G4	1090	0	64,86	
	Liander N.V. (NW)	Krom Boomssloot	1011GP	1011GP	ELK	KVB	14	100	92,86	79	1x25	4369	71,43	57,14	1,8
	Liander N.V. (NW)	Krom Boomssloot	1011GR	1011GR	ELK	KVB	33	100	93,94	70	1x25	1575	63,64	63,64	1
Liander N.V.	GAS Liander	Krom Boomssloot	1011GS	1011GS	GAS	KVB	36	100	94,44	89	G4	1471	0	58,33	
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011GS	1011GS	ELK	KVB	42	97,62	95,24	40	1x25	4082	66,67	61,9	1
	GAS Liander	Krom Boomssloot	1011GT	1011GT	GAS	KVB	10	100	90	90	G4	1043	0	80	
	Liander N.V. (NW)	Krom Boomssloot	1011GT	1011GT	ELK	KVB	13	100	92,31	77	1x25	1675	84,62	84,62	1
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011GV	1011GV	ELK	KVB	20	100	80	45	1x25	1885	55	50	1,2
	GAS Liander	Krom Boomssloot	1011GV	1011GV	GAS	KVB	15	100	86,67	87	G4	1364	0	60	
	GAS Liander	Krom Boomssloot	1011GW	1011GW	GAS	KVB	10	100	80	60	G4	3608	0	60	
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011GW	1011GW	ELK	KVB	12	100	83,33	33	1x25	7503	75	75	1
	GAS Liander	Krom Boomssloot	1011GX	1011GX	GAS	KVB	13	100	100	92	G4	1124	0	100	
	Liander N.V. (NW)	Krom Boomssloot	1011GX	1011GX	ELK	KVB	17	100	100	100	1x25	1174	94,12	94,12	1
	GAS Liander	Snoekjesgracht	1011GZ	1011GZ	GAS	KVB	34	100	100	100	G4	871	0	88,24	
	Liander N.V. (NW)	Snoekjesgracht	1011GZ	1011GZ	ELK	KVB	37	100	97,3	97	1x25	1512	86,49	86,49	2
	GAS Liander	Snoekjessteeg	1011HA	1011HB	GAS	KVB	206	100	99,03	98	G4	1137	0	16,99	
	Liander N.V. (NW)	Snoekjessteeg	1011HA	1011HB	ELK	KVB	229	100	97,38	62	1x25	3273	27,95	20,96	1,1
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011HC	1011HC	ELK	KVB	58	100	74,14	53	1x25	3848	58,62	56,9	1
	GAS Liander	Nieuwe Hoogstraat	1011HC	1011HC	GAS	KVB	48	100	77,08	96	G4	859	0	60,42	
	GAS Liander	Nieuwe Hoogstraat	1011HD	1011HD	GAS	KVB	40	100	55	95	G4	1173	0	52,5	
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011HD	1011HD	ELK	KVB	47	100	55,32	51	3x25	4708	55,32	48,94	1,5
	GAS Liander	Nieuwe Hoogstraat	1011HE	1011HE	GAS	KVB	18	100	100	94	G4	1374	0	61,11	
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011HE	1011HE	ELK	KVB	19	100	100	47	1x35	6565	63,16	57,89	1,1
	GAS Liander	Nieuwe Hoogstraat	1011HG	1011HG	GAS	KVB	26	100	100	88	G4	980	0	96,15	
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011HG	1011HG	ELK	KVB	28	100	100	68	1x25	4842	96,43	96,43	1
	GAS Liander	Onkelboerensteeg	1011HH	1011HH	GAS	KVB	21	100	100	100	G4	1123	0	95,24	
	Liander N.V. (NW)	Onkelboerensteeg	1011HH	1011HH	ELK	KVB	21	100	100	81	1x25	2140	95,24	95,24	1
	Liander N.V. (NW)	Zandstraat	1011HJ	1011HJ	ELK	KVB	16	100	100	44	1x25	2558	50	50	1
	GAS Liander	Zandstraat	1011HJ	1011HJ	GAS	KVB	14	100	100	79	G4	1429	0	50	
	GAS Liander	Zandstraat	1011HK	1011HK	GAS	KVB	10	100	100	90	G4	1690	0	70	
	Liander N.V. (NW)	Zandstraat	1011HK	1011HK	ELK	KVB	11	100	100	64	1x25	2523	81,82	72,73	1,3
	Liander N.V. (NW)	Zandstraat	1011HL	1011HL	ELK	KVB	21	100	100	67	1x25	1685	80,95	80,95	1
	GAS Liander	Zandstraat	1011HL	1011HL	GAS	KVB	20	100	100	100	G4	1120	0	80	
Liander N.V.	Liander N.V. (NW)	Zanddwarsstraat	1011HM	1011HP	ELK	KVB	27	100	96,3	59	1x25	2421	92,59	88,89	1,5
	GAS Liander	Zanddwarsstraat	1011HM	1011HP	GAS	KVB	24	100	100	83	G4	1615	0	95,83	
	Liander N.V. (NW)	Groenburgwal	1011HR	1011HR	ELK	KVB	47	100	100	79	1x25	4149	85,11	85,11	1
	GAS Liander	Groenburgwal	1011HR	1011HR	GAS	KVB	42	100	100	90	G4	1546	0	83,33	
	GAS Liander	Groenburgwal	1011HS	1011HS	GAS	KVB	38	100	100	89	G4	1300	0	81,58	
Liander N.V.	Liander N.V. (NW)	Groenburgwal	1011HS	1011HS	ELK	KVB	44	100	95,45	41	1x25	2361	75	75	1,1
	GAS Liander	Groenburgwal	1011HT	1011HT	GAS	KVB	20	100	100	90	G4	1696	0	95	
	Liander N.V. (NW)	Groenburgwal	1011HT	1011HT	ELK	KVB	22	100	100	55	1x25	2890	95,45	95,45	1
	Liander N.V. (NW)	Groenburgwal	1011HV	1011HV	ELK	KVB	22	100	100	59	1x25	2486	90,91	90,91	1
	GAS Liander	Groenburgwal	1011HV	1011HV	GAS	KVB	20	100	100	85	G4	1386	0	90	
	GAS Liander	Groenburgwal	1011HW	1011HW	GAS	KVB	23	100	100	91	G4	2086	0	78,26	
	Liander N.V. (NW)	Groenburgwal	1011HW	1011HW	ELK	KVB	29	100	96,55	41	1x25	3571	79,31	72,41	1,2
	GAS Liander	Groenburgwal	1011HX	1011HX	GAS	KVB	11	100	100	91	G4	1357	0	90,91	
	Liander N.V. (NW)	Groenburgwal	1011HX	1011HX	ELK	KVB	13	100	92,31	54	1x25	2299	84,62	84,62	1
	Liander N.V. (NW)	Verversstraat	1011HZ	1011HZ	ELK	KVB	42	100	100	69	1x25	3676	95,24	95,24	1
	GAS Liander	Verversstraat	1011HZ	1011HZ	GAS	KVB	38	100	100	87	G4	1425	0	97,37	
Liander N.V.	Liander N.V. (NW)	Verversstraat	1011JA	1011JA	ELK	KVB	24	100	95,83	46	1x25	1903	75	75	1
Liander N.V.	GAS Liander	Verversstraat	1011JA	1011JA	GAS	KVB	18	100	94,44	83	G4	1515	0	88,89	
	Liander N.V. (NW)	Zwanenburgwal	1011JB	1011JB	ELK	KVB	39	100	100	69	1x25	2102	76,92	76,92	1
	GAS Liander	Zwanenburgwal	1011JB	1011JB	GAS	KVB	36	100	97,22	89	G4	1151	0	75	
	Liander N.V. (NW)	Zwanenburgwal	1011JC	1011JG	ELK	KVB	23	100	91,3	48	1x35	1701	73,91	69,57	1
