POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	%Leveringsrichting	SJV	WIJKEN
1011EM	1011EM	GAS	100	2654	CENTRUM
1011EN	1011EN	GAS	100	2912	CENTRUM
1011ER	1011ER	ELK	100	3139	CENTRUM
1011ER	1011ER	GAS	100	1595	CENTRUM
1011ES	1011ET	ELK	100	4844	CENTRUM
1011ES	1011ET	GAS	100	1618	CENTRUM
1011EV	1011EW	ELK	100	3776	CENTRUM
1011EV	1011EW	GAS	100	1308	CENTRUM
1011EX	1011EX	ELK	100	4459	CENTRUM
1011EX	1011EX	GAS	100	1333	CENTRUM
1011EZ	1011GA	GAS	100	1012	CENTRUM
1011EZ	1011EZ	ELK	100	2094	CENTRUM
1011GA	1011GA	ELK	100	2334	CENTRUM
1011GB	1011GC	ELK	100	1760	CENTRUM
1011GB	1011GD	GAS	100	1176	CENTRUM
1011GD	1011GD	ELK	96,15	2491	CENTRUM
1011GG	1011GG	ELK	100	1428	CENTRUM
1011GG	1011GG	GAS	100	1370	CENTRUM
1011GH	1011GH	GAS	100	1181	CENTRUM
1011GH	1011GH	ELK	100	3844	CENTRUM
1011GJ	1011GJ	GAS	100	1282	CENTRUM
1011GJ	1011GJ	ELK	100	2759	CENTRUM
1011GK	1011GL	ELK	100	1801	CENTRUM
1011GK	1011GL	GAS	100	818	CENTRUM
1011GM	1011GM	ELK	100	2127	CENTRUM
1011GM	1011GM	GAS	100	1495	CENTRUM
1011GN	1011GN	GAS	100	1172	CENTRUM
1011GN	1011GN	ELK	100	1723	CENTRUM
1011GP	1011GP	ELK	100	989	CENTRUM
1011GP	1011GR	GAS	100	1072	CENTRUM
1011GR	1011GR	ELK	100	1715	CENTRUM
1011GS	1011GS	GAS	100	1553	CENTRUM
1011GS	1011GS	ELK	97,62	4188	CENTRUM
1011GT	1011GT	ELK	100	1886	CENTRUM
1011GT	1011GT	GAS	100	761	CENTRUM
1011GV	1011GV	GAS	100	1355	CENTRUM
1011GV	1011GV	ELK	100	2049	CENTRUM
1011GW	1011GW	GAS	100	3069	CENTRUM
1011GX	1011GX	GAS	100	1234	CENTRUM
1011GX	1011GX	ELK	100	1158	CENTRUM
1011GZ	1011GZ	ELK	100	1542	CENTRUM
1011GZ	1011GZ	GAS	100	845	CENTRUM
1011HA	1011HB	GAS	100	1157	CENTRUM
1011HA	1011HB	ELK	100	3288	CENTRUM
1011HC	1011HC	ELK	100	2980	CENTRUM
1011HC	1011HC	GAS	100	830	CENTRUM
1011HD	1011HD	GAS	100	1216	CENTRUM
1011HE	1011HE	GAS	100	1514	CENTRUM
1011HG	1011HG	ELK	100	4829	CENTRUM
1011HG	1011HG	GAS	100	1060	CENTRUM
1011HH	1011HH	ELK	100	2172	CENTRUM
1011HH	1011HH	GAS	100	1201	CENTRUM
1011HJ	1011HJ	GAS	100	1501	CENTRUM
1011HJ	1011HJ	ELK	100	2471	CENTRUM
1011HK	1011HK	GAS	100	1779	CENTRUM
1011HK	1011HK	ELK	100	2396	CENTRUM
1011HL	1011HL	ELK	100	1678	CENTRUM
1011HL	1011HL	GAS	100	1117	CENTRUM
1011HM	1011HP	ELK	100	2733	CENTRUM
1011HM	1011HP	GAS	100	1649	CENTRUM
1011HR	1011HR	GAS	100	1452	CENTRUM
1011HR	1011HR	ELK	100	4057	CENTRUM
1011HS	1011HS	ELK	100	2463	CENTRUM
1011HS	1011HS	GAS	100	1359	CENTRUM
1011HT	1011HT	GAS	100	1789	CENTRUM
1011HT	1011HT	ELK	100	3358	CENTRUM
1011HV	1011HV	ELK	100	2440	CENTRUM
1011HV	1011HV	GAS	100	1417	CENTRUM
1011HW	1011HW	ELK	100	3659	CENTRUM
1011HW	1011HW	GAS	100	1987	CENTRUM
1011HX	1011HX	ELK	100	2076	CENTRUM
1011HX	1011HX	GAS	100	1363	CENTRUM
1011HZ	1011HZ	ELK	100	3713	CENTRUM
1011HZ	1011HZ	GAS	100	1513	CENTRUM
1011JA	1011JA	ELK	100	2024	CENTRUM
1011JA	1011JA	GAS	100	1528	CENTRUM
1011JB	1011JB	GAS	100	1155	CENTRUM
1011JB	1011JB	ELK	100	2206	CENTRUM
1011JC	1011JH	GAS	100	1555	CENTRUM
1011JC	1011JG	ELK	100	1837	CENTRUM
1011JH	1011JH	ELK	100	3858	CENTRUM
1011JJ	1011JJ	GAS	100	2337	CENTRUM
1011JK	1011JK	GAS	100	1020	CENTRUM
1011JL	1011JL	GAS	100	1305	CENTRUM
1011JM	1011JM	GAS	100	1633	CENTRUM
1011JN	1011JN	ELK	100	3623	CENTRUM
1011JN	1011JN	GAS	100	1600	CENTRUM
1011JP	1011JP	GAS	100	2094	CENTRUM
1011JR	1011JR	GAS	100	1916	CENTRUM
1011JS	1011JT	GAS	100	2755	CENTRUM
1011JV	1011JV	GAS	100	2543	CENTRUM
1011JV	1011JV	ELK	100	2473	CENTRUM
1011JW	1011JW	GAS	100	2201	CENTRUM
1011JX	1011JX	GAS	100	3300	CENTRUM
1011JX	1011JX	ELK	100	3726	CENTRUM
1011JZ	1011JZ	GAS	100	1971	CENTRUM
1011KA	1011KA	ELK	100	3387	CENTRUM
1011KA	1011KA	GAS	100	1624	CENTRUM
1011KB	1011KB	GAS	100	3080	CENTRUM
1011KC	1011KC	ELK	100	3638	CENTRUM
1011KC	1011KC	GAS	100	1668	CENTRUM
1011KD	1011KD	GAS	100	2423	CENTRUM
1011KE	1011KH	GAS	100	3499	CENTRUM
1011KH	1011KH	ELK	100	3161	CENTRUM
1011KJ	1011KJ	ELK	97,37	2206	CENTRUM
1011KJ	1011KJ	GAS	100	1315	CENTRUM
1011KK	1011KK	GAS	100	1244	CENTRUM
1011KK	1011KK	ELK	100	2506	CENTRUM
1011KL	1011KM	GAS	100	2260	CENTRUM
1011KN	1011KN	ELK	100	2403	CENTRUM
1011KN	1011KN	GAS	100	1322	CENTRUM
1011KP	1011KP	ELK	100	2863	CENTRUM
1011KP	1011KP	GAS	100	1307	CENTRUM
1011KR	1011KR	GAS	100	1399	CENTRUM
1011KR	1011KR	ELK	100	2344	CENTRUM
1011KS	1011KS	GAS	100	1750	CENTRUM
1011KS	1011KS	ELK	100	2705	CENTRUM
1011KT	1011KT	GAS	100	2024	CENTRUM
1011KT	1011KT	ELK	100	2911	CENTRUM
1011KV	1011KW	ELK	100	2606	CENTRUM
1011KV	1011KW	GAS	100	1169	CENTRUM
1011KX	1011KZ	GAS	100	1890	CENTRUM
1011KX	1011KZ	ELK	100	4549	CENTRUM
1011LA	1011LA	GAS	100	2012	CENTRUM
1011LA	1011LA	ELK	100	2074	CENTRUM
1011LB	1011LB	GAS	100	1086	CENTRUM
1011LB	1011LB	ELK	100	3603	CENTRUM
1011LC	1011LC	GAS	100	1746	CENTRUM
1011LC	1011LC	ELK	100	2792	CENTRUM
1011LD	1011LD	GAS	100	1533	CENTRUM
1011LD	1011LD	ELK	98	3155	CENTRUM
1011LE	1011LE	ELK	100	2638	CENTRUM
1011LE	1011LE	GAS	100	1362	CENTRUM
1011LG	1011LH	GAS	100	1387	CENTRUM
1011LG	1011LG	ELK	100	2889	CENTRUM
1011LH	1011LH	ELK	100	3028	CENTRUM
1011LJ	1011LJ	ELK	100	2705	CENTRUM
1011LJ	1011LJ	GAS	100	1018	CENTRUM
1011LK	1011LL	ELK	100	2744	CENTRUM
1011LK	1011LL	GAS	100	1486	CENTRUM
1011LM	1011LM	GAS	100	1141	CENTRUM
1011LM	1011LM	ELK	100	3209	CENTRUM
1011LN	1011LP	ELK	100	2506	CENTRUM
1011LN	1011LP	GAS	100	1404	CENTRUM
1011LR	1011LR	ELK	100	1811	CENTRUM
1011LR	1011LR	GAS	100	1150	CENTRUM
1011LS	1011LS	ELK	100	1381	CENTRUM
1011LS	1011LS	GAS	100	1542	CENTRUM
1011LT	1011LT	GAS	100	775	CENTRUM
1011LT	1011LT	ELK	100	1885	CENTRUM
1011LV	1011LV	GAS	100	1031	CENTRUM
1011LV	1011LV	ELK	100	1858	CENTRUM
1011LW	1011LW	GAS	100	882	CENTRUM
1011LW	1011LW	ELK	100	1971	CENTRUM
1011LX	1011LZ	GAS	100	1559	CENTRUM
1011LZ	1011LZ	ELK	100	4116	CENTRUM
1011MA	1011MB	GAS	100	821	CENTRUM
1011MA	1011MB	ELK	100	2175	CENTRUM
1011MC	1011MG	ELK	100	3657	CENTRUM
1011MC	1011MX	GAS	100	887	CENTRUM
1011MH	1011MH	ELK	100	3673	CENTRUM
1011MK	1011MK	ELK	100	2445	CENTRUM
1011ML	1011ML	ELK	100	2454	CENTRUM
1011MN	1011MN	ELK	100	2950	CENTRUM
1011MP	1011MP	ELK	100	2507	CENTRUM
1011MR	1011MR	ELK	100	2807	CENTRUM
1011MT	1011MT	ELK	100	3014	CENTRUM
1011MV	1011MV	ELK	100	2243	CENTRUM
1011MX	1011MX	ELK	100	2426	CENTRUM
1011MZ	1011MZ	ELK	100	3383	CENTRUM
1011MZ	1011MZ	GAS	100	823	CENTRUM
1011NA	1011NA	GAS	100	1701	CENTRUM
1011NB	1011NB	GAS	100	990	CENTRUM
1011NB	1011NB	ELK	100	1491	CENTRUM
1011NC	1011NC	GAS	100	803	CENTRUM
1011NC	1011NC	ELK	100	3200	CENTRUM
1011ND	1011ND	GAS	100	751	CENTRUM
1011NE	1011NK	GAS	100	4189	CENTRUM
1011NM	1011NS	GAS	100	1182	CENTRUM
1011NV	1011NV	GAS	100	1511	CENTRUM
1011NV	1011NV	ELK	100	5134	CENTRUM
1011NX	1011PB	GAS	100	938	CENTRUM
1011NX	1011PB	ELK	100	3750	CENTRUM
1011PC	1011PG	GAS	100	1224	CENTRUM
1011PL	1011PL	GAS	100	931	CENTRUM
1011PL	1011PL	ELK	100	1763	CENTRUM
1011PM	1011PM	ELK	100	4025	CENTRUM
1011PM	1011PM	GAS	100	2635	CENTRUM
1011PT	1011PT	GAS	100	1531	CENTRUM
1011PV	1011PW	GAS	100	1168	CENTRUM
1011PV	1011PV	ELK	100	2113	CENTRUM
1011PW	1011PW	ELK	100	3743	CENTRUM
1011PX	1011RA	GAS	100	1372	CENTRUM
1011PX	1011PX	ELK	100	4198	CENTRUM
1011RA	1011RA	ELK	100	3058	CENTRUM
1011RB	1011RC	GAS	100	1619	CENTRUM
1011RB	1011RC	ELK	100	3982	CENTRUM
1011RD	1011RE	GAS	100	1735	CENTRUM
1011RG	1011RG	GAS	100	918	CENTRUM
1011RG	1011RG	ELK	100	2282	CENTRUM
1011RH	1011RH	GAS	100	847	CENTRUM
1011RH	1011RH	ELK	100	2719	CENTRUM
1011RJ	1011RJ	ELK	100	2489	CENTRUM
1011RJ	1011RK	GAS	100	1969	CENTRUM
1011RK	1011RK	ELK	100	2903	CENTRUM
1011RL	1011RL	ELK	96,55	2026	CENTRUM
1011RL	1011RL	GAS	100	1392	CENTRUM
1011RM	1011RM	ELK	100	3699	CENTRUM
1011RM	1011RM	GAS	100	2739	CENTRUM
1011RN	1011RN	GAS	100	2936	CENTRUM
1011RP	1011RS	ELK	100	3916	CENTRUM
1011RP	1011SB	GAS	100	1591	CENTRUM
1011RT	1011SB	ELK	100	4675	CENTRUM
1011SC	1011SC	GAS	100	1743	CENTRUM
1011SC	1011SC	ELK	100	4685	CENTRUM
1011SE	1011SG	ELK	100	4211	CENTRUM
1011SE	1011SP	GAS	100	1660	CENTRUM
1011SK	1011SP	ELK	100	2408	CENTRUM
1011SR	1011SR	ELK	100	992	CENTRUM
1011ST	1011ST	ELK	100	1045	CENTRUM
1011SV	1011SV	ELK	100	1360	CENTRUM
1011SW	1011SW	ELK	100	992	CENTRUM
1011SX	1011SX	ELK	100	936	CENTRUM
1011SZ	1011SZ	ELK	100	883	CENTRUM
1011TA	1011TB	ELK	97,14	3080	CENTRUM
1011TA	1011TB	GAS	100	1591	CENTRUM
1011TC	1011TC	GAS	100	2184	CENTRUM
1011TD	1011TD	GAS	100	4287	CENTRUM
1011TE	1011TE	GAS	100	2195	CENTRUM
1011TG	1011TG	GAS	100	2717	CENTRUM
1011TG	1011TG	ELK	100	3223	CENTRUM
1011TJ	1011TJ	GAS	100	1299	CENTRUM
1011TJ	1011TJ	ELK	100	3740	CENTRUM
1011TK	1011TL	ELK	100	2378	CENTRUM
1011TK	1011TL	GAS	100	1055	CENTRUM
1011TM	1011TM	GAS	100	1446	CENTRUM
1011TN	1011TN	ELK	100	2079	CENTRUM
1011TN	1011TP	GAS	100	1244	CENTRUM
1011TP	1011TP	ELK	100	2367	CENTRUM
1011TR	1011TR	GAS	100	1542	CENTRUM
1011TR	1011TR	ELK	100	3011	CENTRUM
1011TS	1011TS	GAS	100	1238	CENTRUM
1011TS	1011TS	ELK	100	2601	CENTRUM
1011TT	1011TT	ELK	100	2832	CENTRUM
1011TT	1011TT	GAS	100	1591	CENTRUM
1011TV	1011TV	GAS	100	1246	CENTRUM
1011TV	1011TV	ELK	100	2623	CENTRUM
1011TW	1011TW	GAS	100	1980	CENTRUM
1011TX	1011TX	GAS	100	1021	CENTRUM
1011TX	1011TX	ELK	100	3048	CENTRUM
1011TZ	1011TZ	GAS	100	1097	CENTRUM
1011TZ	1011TZ	ELK	100	2504	CENTRUM
1011VA	1011VA	GAS	100	1107	CENTRUM
1011VB	1011VB	ELK	100	2917	CENTRUM
1011VB	1011VB	GAS	100	1109	CENTRUM
1011VC	1011VK	GAS	100	890	CENTRUM
