MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
Liander N.V.	Liander N.V. (NW)	De Ruyterkade	1011AC	1011AC	ELK	KVB	32	100.0	65.63	31	3x25	11433	28.13	15.63	1.1
Liander N.V.	GAS Liander	De Ruyterkade	1011AC	1011AC	GAS	KVB	22	100.0	81.82	41	G4	3938	0.0	18.18	
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011AD	1011AD	ELK	KVB	20	100.0	5.0	60	3x25	3665	45.0	0.0	1.5
Liander N.V.	GAS Liander	Oosterdokskade	1011AD	1011AE	GAS	KVB	11	100.0	45.45	82	G4	1248	0.0	9.09	
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011AE	1011AE	ELK	KVB	18	100.0	33.33	67	3x25	3117	33.33	5.56	1.0
	Liander N.V. (NW)	Prins Hendrikkade	1011AG	1011AG	ELK	KVB	12	100.0	91.67	50	3x25	20056	58.33	25.0	1.6
	GAS Liander	Prins Hendrikkade	1011AG	1011AH	GAS	KVB	27	100.0	100.0	96	G4	2199	0.0	14.81	
	Liander N.V. (NW)	Prins Hendrikkade	1011AH	1011AH	ELK	KVB	21	100.0	100.0	67	1x25	3455	14.29	0.0	1.1
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AJ	1011AJ	ELK	KVB	19	100.0	89.47	37	1x25	8680	26.32	26.32	1.0
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AJ	1011AJ	GAS	KVB	15	100.0	93.33	73	G4	1722	0.0	33.33	
	Liander N.V. (NW)	Prins Hendrikkade	1011AK	1011AK	ELK	KVB	14	100.0	71.43	50	3x25	7019	28.57	14.29	1.0
Liander N.V.	Liander N.V. (NW)	Houtkopersdwarsstraat	1011AL	1011AM	ELK	KVB	15	100.0	86.67	40	3x25	8842	66.67	40.0	1.6
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AM	1011AN	GAS	KVB	28	100.0	96.43	86	G4	2662	0.0	50.0	
	Liander N.V. (NW)	Prins Hendrikkade	1011AN	1011AN	ELK	KVB	28	100.0	92.86	32	3x25	2821	46.43	35.71	1.3
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AP	1011AP	ELK	KVB	20	100.0	70.0	50	1x35	5574	50.0	40.0	1.0
	GAS Liander	Prins Hendrikkade	1011AP	1011AP	GAS	KVB	19	100.0	73.68	89	G4	2526	0.0	42.11	
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AR	1011AR	ELK	KVB	32	100.0	93.75	34	3x25	8458	34.38	15.63	1.6
	GAS Liander	Prins Hendrikkade	1011AR	1011AR	GAS	KVB	19	100.0	100.0	63	G4	2547	0.0	26.32	
	Liander N.V. (NW)	Prins Hendrikkade	1011AS	1011AS	ELK	KVB	12	100.0	83.33	50	3x25	4937	50.0	33.33	1.3
	GAS Liander	Prins Hendrikkade	1011AS	1011AV	GAS	KVB	20	100.0	100.0	65	G4	5914	0.0	40.0	
	Liander N.V. (NW)	Prins Hendrikkade	1011AT	1011AT	ELK	KVB	11	100.0	100.0	55	3x25	8626	36.36	0.0	1.4
	Liander N.V. (NW)	Prins Hendrikkade	1011AV	1011AV	ELK	KVB	18	100.0	83.33	44	3x25	4603	55.56	44.44	1.7
	Liander N.V. (NW)	Prins Hendrikkade	1011AW	1011AW	ELK	KVB	21	100.0	95.24	38	1x25	2536	14.29	4.76	1.4
	GAS Liander	Prins Hendrikkade	1011AW	1011AW	GAS	KVB	13	100.0	100.0	92	G4	1375	0.0	7.69	
Liander N.V.	Liander N.V. (NW)	Buiten Bantammerstraat	1011AX	1011AX	ELK	KVB	16	100.0	87.5	56	3x25	5695	43.75	68.75	1.0
	GAS Liander	Buiten Bantammerstraat	1011AX	1011AX	GAS	KVB	14	100.0	92.86	93	G4	2408	0.0	71.43	
	Liander N.V. (NW)	Schippersstraat	1011AZ	1011AZ	ELK	KVB	26	100.0	73.08	46	1x35	6258	88.46	69.23	2.0
	GAS Liander	Schippersstraat	1011AZ	1011AZ	GAS	KVB	26	100.0	69.23	92	G4	1704	0.0	65.38	
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011BA	1011BA	ELK	KVB	19	100.0	36.84	58	3x25	3478	52.63	31.58	1.0
Liander N.V.	GAS Liander	Schippersstraat	1011BA	1011BA	GAS	KVB	15	100.0	40.0	87	G4	1221	0.0	33.33	
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011BB	1011BC	ELK	KVB	24	100.0	95.83	58	1x35	4414	33.33	33.33	1.7
Liander N.V.	GAS Liander	Schippersstraat	1011BB	1011BC	GAS	KVB	22	100.0	95.45	91	G4	2163	0.0	40.91	
Liander N.V.	Liander N.V. (NW)	Kalkmarkt	1011BD	1011BD	ELK	KVB	29	93.1	79.31	72	3x25	4853	41.38	48.28	1.4
	GAS Liander	Kalkmarkt	1011BD	1011BD	GAS	KVB	19	100.0	100.0	89	G4	2493	0.0	68.42	
Liander N.V.	Liander N.V. (NW)	Binnenkant AB	1011BE	1011BG	ELK	KVB	27	100.0	81.48	70	3x25	2334	18.52	3.7	1.4
	GAS Liander	Binnenkant AB	1011BE	1011BG	GAS	KVB	16	100.0	93.75	88	G4	2061	0.0	6.25	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BH	1011BH	ELK	KVB	32	100.0	93.75	56	3x25	3364	15.63	9.38	1.6
	GAS Liander	Binnenkant	1011BH	1011BH	GAS	KVB	28	100.0	92.86	82	G4	2090	0.0	14.29	
	Liander N.V. (NW)	Binnenkant	1011BJ	1011BJ	ELK	KVB	22	100.0	90.91	45	1x35	4917	22.73	4.55	1.9
	GAS Liander	Binnenkant	1011BJ	1011BJ	GAS	KVB	16	100.0	100.0	69	G4	3333	0.0	12.5	
	Liander N.V. (NW)	Binnenkant	1011BK	1011BK	ELK	KVB	16	100.0	100.0	69	1x35	2372	12.5	6.25	1.5
	GAS Liander	Binnenkant	1011BK	1011BK	GAS	KVB	14	100.0	100.0	86	G4	1602	0.0	0.0	
	Liander N.V. (NW)	Binnenkant	1011BL	1011BM	ELK	KVB	23	100.0	100.0	83	1x35	2086	0.0	8.7	1.8
	GAS Liander	Binnenkant	1011BL	1011BM	GAS	KVB	20	100.0	100.0	85	G4	1494	0.0	10.0	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BN	1011BN	ELK	KVB	21	100.0	71.43	76	3x25	3170	0.0	9.52	1.6
	GAS Liander	Binnenkant	1011BN	1011BN	GAS	KVB	15	100.0	86.67	73	G4	1554	0.0	13.33	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BP	1011BP	ELK	KVB	17	100.0	88.24	76	3x25	3044	5.88	0.0	1.6
Liander N.V.	GAS Liander	Binnenkant	1011BP	1011BP	GAS	KVB	14	100.0	92.86	86	G4	2739	0.0	7.14	
	Liander N.V. (NW)	Binnenkant	1011BR	1011BR	ELK	KVB	15	100.0	100.0	67	1x35	2616	26.67	6.67	1.9
	GAS Liander	Binnenkant	1011BR	1011BR	GAS	KVB	11	100.0	100.0	91	G4	1478	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011BS	1011BS	ELK	KVB	28	100.0	78.57	64	3x25	4696	50.0	46.43	1.1
Liander N.V.	GAS Liander	Kromme Waal	1011BS	1011BS	GAS	KVB	27	100.0	74.07	70	G4	2608	0.0	48.15	
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011BT	1011BT	ELK	KVB	31	100.0	93.55	52	3x25	3095	48.39	45.16	1.1
Liander N.V.	GAS Liander	Kromme Waal	1011BT	1011BT	GAS	KVB	27	100.0	96.3	89	G4	1717	0.0	44.44	
	Liander N.V. (NW)	Kromme Waal	1011BV	1011BV	ELK	KVB	23	100.0	69.57	65	3x25	3882	47.83	47.83	1.0
	GAS Liander	Kromme Waal	1011BV	1011BV	GAS	KVB	21	100.0	66.67	67	G4	1968	0.0	52.38	
	Liander N.V. (NW)	Kromme Waal	1011BW	1011BW	ELK	KVB	33	100.0	96.97	64	1x25	2671	72.73	72.73	1.1
	GAS Liander	Kromme Waal	1011BW	1011BW	GAS	KVB	27	100.0	100.0	100	G4	1198	0.0	74.07	
	Liander N.V. (NW)	Oude Waal	1011BX	1011BX	ELK	KVB	22	100.0	100.0	82	1x25	1632	95.45	95.45	1.0
	GAS Liander	Oude Waal	1011BX	1011BX	GAS	KVB	20	100.0	100.0	100	G4	1103	0.0	95.0	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011BZ	1011BZ	ELK	KVB	28	100.0	92.86	43	1x25	3448	78.57	78.57	1.0
	GAS Liander	Oude Waal	1011BZ	1011BZ	GAS	KVB	25	100.0	100.0	80	G4	1227	0.0	84.0	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CA	1011CA	ELK	KVB	37	100.0	56.76	73	3x25	1719	51.35	54.05	1.0
Liander N.V.	GAS Liander	Oude Waal	1011CA	1011CA	GAS	KVB	24	100.0	79.17	79	G4	1459	0.0	75.0	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CB	1011CB	ELK	KVB	25	100.0	80.0	32	1x25	2430	76.0	76.0	1.0
	GAS Liander	Oude Waal	1011CB	1011CB	GAS	KVB	18	100.0	94.44	100	G4	1402	0.0	94.44	
	Liander N.V. (NW)	Oude Waal	1011CC	1011CC	ELK	KVB	21	100.0	100.0	57	3x25	2851	61.9	61.9	1.0
	GAS Liander	Oude Waal	1011CC	1011CC	GAS	KVB	18	100.0	100.0	89	G4	1804	0.0	61.11	
	GAS Liander	Oude Waal	1011CD	1011CD	GAS	KVB	15	100.0	100.0	100	G4	1283	0.0	93.33	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot  94 to	1011CD	1011CD	ELK	KVB	17	100.0	94.12	76	1x25	2509	88.24	88.24	1.0
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CE	1011CE	ELK	KVB	12	83.33	75.0	50	3x25	2218	58.33	58.33	2.0
	GAS Liander	Oude Waal	1011CE	1011CH	GAS	KVB	34	100.0	97.06	88	G4	2273	0.0	23.53	
Liander N.V.	Liander N.V. (NW)	Oude Waal AB	1011CG	1011CH	ELK	KVB	28	100.0	92.86	46	3x25	9706	25.0	3.57	1.3
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CJ	1011CJ	ELK	KVB	16	100.0	100.0	81	1x25	7372	12.5	0.0	1.1
