MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
Liander N.V.	Liander N.V. (NW)	Schippersstraat	1011BB	1011BC	AMSTERDAM	ELK	KVB	24	100.0	95.83	58	1x35	3404	50.0	41.67	1.2
	GAS Liander	Kalkmarkt	1011BD	1011BD	AMSTERDAM	GAS	KVB	20	100.0	95.0	90	G4	2069	0.0	65.0	
Liander N.V.	Liander N.V. (NW)	Kalkmarkt	1011BD	1011BD	AMSTERDAM	ELK	KVB	30	93.33	76.67	60	3x25	3490	50.0	46.67	1.1
	GAS Liander	Binnenkant AB	1011BE	1011BG	AMSTERDAM	GAS	KVB	16	100.0	93.75	88	G4	2039	0.0	12.5	
Liander N.V.	Liander N.V. (NW)	Binnenkant AB	1011BE	1011BG	AMSTERDAM	ELK	KVB	28	100.0	71.43	50	1x35	2068	14.29	7.14	1.2
	GAS Liander	Binnenkant	1011BH	1011BH	AMSTERDAM	GAS	KVB	31	100.0	93.55	84	G4	1740	0.0	48.39	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BH	1011BH	AMSTERDAM	ELK	KVB	34	100.0	94.12	50	1x35	2867	52.94	50.0	1.1
	Liander N.V. (NW)	Binnenkant	1011BJ	1011BJ	AMSTERDAM	ELK	KVB	22	100.0	90.91	45	3x25	5646	31.82	13.64	1.2
	GAS Liander	Binnenkant	1011BJ	1011BJ	AMSTERDAM	GAS	KVB	16	100.0	100.0	69	G4	3494	0.0	25.0	
	Liander N.V. (NW)	Binnenkant	1011BK	1011BK	AMSTERDAM	ELK	KVB	16	100.0	100.0	50	1x35	2307	12.5	12.5	1.0
	GAS Liander	Binnenkant	1011BK	1011BK	AMSTERDAM	GAS	KVB	14	100.0	92.86	86	G4	1505	0.0	14.29	
	GAS Liander	Binnenkant	1011BL	1011BM	AMSTERDAM	GAS	KVB	20	100.0	100.0	85	G4	1335	0.0	20.0	
	Liander N.V. (NW)	Binnenkant	1011BL	1011BM	AMSTERDAM	ELK	KVB	23	100.0	95.65	87	1x35	2004	30.43	21.74	1.2
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BN	1011BN	AMSTERDAM	ELK	KVB	21	100.0	71.43	67	3x25	3051	19.05	19.05	1.0
	GAS Liander	Binnenkant	1011BN	1011BN	AMSTERDAM	GAS	KVB	15	100.0	86.67	73	G4	1495	0.0	26.67	
Liander N.V.	GAS Liander	Binnenkant	1011BP	1011BP	AMSTERDAM	GAS	KVB	15	100.0	93.33	87	G4	2465	0.0	6.67	
Liander N.V.	Liander N.V. (NW)	Binnenkant	1011BP	1011BP	AMSTERDAM	ELK	KVB	18	100.0	88.89	78	3x25	2845	16.67	5.56	1.4
	Liander N.V. (NW)	Binnenkant	1011BR	1011BR	AMSTERDAM	ELK	KVB	15	100.0	100.0	67	1x35	1765	20.0	13.33	1.2
	GAS Liander	Binnenkant	1011BR	1011BR	AMSTERDAM	GAS	KVB	11	100.0	100.0	100	G4	1574	0.0	9.09	
Liander N.V.	GAS Liander	Kromme Waal	1011BS	1011BS	AMSTERDAM	GAS	KVB	28	100.0	75.0	71	G4	1985	0.0	46.43	
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011BS	1011BS	AMSTERDAM	ELK	KVB	29	100.0	79.31	62	3x25	2753	48.28	44.83	1.2
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011BT	1011BT	AMSTERDAM	ELK	KVB	31	96.77	93.55	48	3x25	2314	45.16	45.16	1.1
Liander N.V.	GAS Liander	Kromme Waal	1011BT	1011BT	AMSTERDAM	GAS	KVB	27	100.0	96.3	89	G4	1499	0.0	44.44	
	Liander N.V. (NW)	Kromme Waal	1011BV	1011BV	AMSTERDAM	ELK	KVB	23	100.0	65.22	61	3x25	2324	56.52	52.17	1.0
	GAS Liander	Kromme Waal	1011BV	1011BV	AMSTERDAM	GAS	KVB	21	100.0	66.67	67	G4	1635	0.0	57.14	
	Liander N.V. (NW)	Kromme Waal	1011BW	1011BW	AMSTERDAM	ELK	KVB	33	100.0	96.97	64	1x25	2256	72.73	72.73	1.0
	GAS Liander	Kromme Waal	1011BW	1011BW	AMSTERDAM	GAS	KVB	27	100.0	100.0	100	G4	1016	0.0	74.07	
	Liander N.V. (NW)	Oude Waal	1011BX	1011BX	AMSTERDAM	ELK	KVB	22	100.0	100.0	82	1x25	1415	95.45	95.45	1.0
	GAS Liander	Oude Waal	1011BX	1011BX	AMSTERDAM	GAS	KVB	20	100.0	100.0	100	G4	946	0.0	95.0	
	GAS Liander	Oude Waal	1011BZ	1011BZ	AMSTERDAM	GAS	KVB	25	100.0	100.0	80	G4	1258	0.0	84.0	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011BZ	1011BZ	AMSTERDAM	ELK	KVB	28	96.43	92.86	43	1x25	3662	78.57	78.57	1.0
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CA	1011CA	AMSTERDAM	ELK	KVB	37	100.0	56.76	51	3x25	1742	54.05	54.05	1.0
Liander N.V.	GAS Liander	Oude Waal	1011CA	1011CA	AMSTERDAM	GAS	KVB	24	100.0	79.17	79	G4	1290	0.0	75.0	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CB	1011CB	AMSTERDAM	ELK	KVB	25	100.0	80.0	40	1x35	2183	72.0	76.0	1.0
	GAS Liander	Oude Waal	1011CB	1011CB	AMSTERDAM	GAS	KVB	18	100.0	94.44	100	G4	1435	0.0	94.44	
	GAS Liander	Oude Waal	1011CC	1011CC	AMSTERDAM	GAS	KVB	19	100.0	89.47	95	G4	1588	0.0	52.63	
	Liander N.V. (NW)	Oude Waal	1011CC	1011CC	AMSTERDAM	ELK	KVB	21	100.0	90.48	48	1x25	2038	61.9	57.14	1.0
	GAS Liander	Oude Waal	1011CD	1011CD	AMSTERDAM	GAS	KVB	16	100.0	100.0	94	G4	1326	0.0	93.75	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot  94 to	1011CD	1011CD	AMSTERDAM	ELK	KVB	19	100.0	94.74	63	1x25	2268	89.47	89.47	1.0
	GAS Liander	Oude Waal	1011CE	1011CH	AMSTERDAM	GAS	KVB	34	100.0	97.06	88	G4	2161	0.0	23.53	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CE	1011CE	AMSTERDAM	ELK	KVB	12	83.33	75.0	42	3x25	2916	50.0	58.33	1.5
Liander N.V.	Liander N.V. (NW)	Oude Waal AB	1011CG	1011CH	AMSTERDAM	ELK	KVB	28	100.0	92.86	36	1x35	10508	17.86	3.57	1.2
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CJ	1011CJ	AMSTERDAM	ELK	KVB	16	100.0	100.0	75	1x25	7148	18.75	6.25	1.1
	GAS Liander	Binnen Bantammerstraat	1011CJ	1011CJ	AMSTERDAM	GAS	KVB	15	100.0	100.0	100	G4	1196	0.0	6.67	
	GAS Liander	Binnen Bantammerstraat	1011CK	1011CK	AMSTERDAM	GAS	KVB	12	100.0	100.0	100	G4	1273	0.0	8.33	
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CK	1011CK	AMSTERDAM	ELK	KVB	14	100.0	100.0	79	1x25	2400	7.14	7.14	1.0
Liander N.V.	GAS Liander	Binnen Bantammerstraat	1011CL	1011CM	AMSTERDAM	GAS	KVB	68	100.0	91.18	94	G4	1154	0.0	42.65	
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CL	1011CL	AMSTERDAM	ELK	KVB	10	100.0	100.0	80	1x25	1647	0.0	0.0	1.0
Liander N.V.	Liander N.V. (NW)	Nieuwe Jonkerstraat	1011CM	1011CM	AMSTERDAM	ELK	KVB	72	100.0	81.94	35	3x25	2537	48.61	45.83	1.0
	GAS Liander	Nieuwe Ridderstraat	1011CN	1011CN	AMSTERDAM	GAS	KVB	10	100.0	90.0	90	G4	2422	0.0	60.0	
	Liander N.V. (NW)	Nieuwe Ridderstraat	1011CN	1011CN	AMSTERDAM	ELK	KVB	13	100.0	84.62	54	3x25	4510	61.54	46.15	1.2
Liander N.V.	Liander N.V. (NW)	Nieuwe Ridderstraat	1011CP	1011CR	AMSTERDAM	ELK	KVB	21	100.0	95.24	57	1x25	2100	19.05	14.29	1.1
	GAS Liander	Nieuwe Ridderstraat	1011CP	1011CR	AMSTERDAM	GAS	KVB	16	100.0	100.0	88	G4	2090	0.0	12.5	
	Liander N.V. (NW)	Recht Boomssloot	1011CS	1011CS	AMSTERDAM	ELK	KVB	26	100.0	96.15	69	1x25	1842	0.0	0.0	1.0
	GAS Liander	Recht Boomssloot	1011CS	1011CS	AMSTERDAM	GAS	KVB	22	100.0	100.0	86	G4	1391	0.0	0.0	
Liander N.V.	GAS Liander	Recht Boomssloot	1011CT	1011CT	AMSTERDAM	GAS	KVB	17	100.0	94.12	100	G4	1293	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot	1011CT	1011CT	AMSTERDAM	ELK	KVB	18	100.0	88.89	44	1x25	2527	0.0	0.0	1.0
	GAS Liander	Recht Boomssloot	1011CV	1011CV	AMSTERDAM	GAS	KVB	18	100.0	94.44	100	G4	1241	0.0	5.56	
	Liander N.V. (NW)	Recht Boomssloot	1011CV	1011CV	AMSTERDAM	ELK	KVB	19	100.0	100.0	58	1x25	1532	26.32	26.32	1.1
	GAS Liander	Recht Boomssloot	1011CW	1011CW	AMSTERDAM	GAS	KVB	13	100.0	100.0	100	G4	1050	0.0	0.0	
	Liander N.V. (NW)	Recht Boomssloot	1011CW	1011CW	AMSTERDAM	ELK	KVB	15	100.0	93.33	53	1x25	2316	0.0	0.0	1.0
	GAS Liander	Recht Boomssloot	1011CX	1011CX	AMSTERDAM	GAS	KVB	19	100.0	100.0	95	G4	1047	0.0	5.26	
	Liander N.V. (NW)	Recht Boomssloot	1011CX	1011CX	AMSTERDAM	ELK	KVB	19	100.0	100.0	68	1x25	2550	5.26	5.26	1.0
	Liander N.V. (NW)	Recht Boomssloot	1011CZ	1011CZ	AMSTERDAM	ELK	KVB	22	81.82	86.36	59	1x25	2311	22.73	22.73	1.1
	GAS Liander	Recht Boomssloot	1011CZ	1011CZ	AMSTERDAM	GAS	KVB	19	100.0	100.0	95	G4	1248	0.0	26.32	
	Liander N.V. (NW)	Lastageweg	1011DB	1011DB	AMSTERDAM	ELK	KVB	10	100.0	100.0	90	1x25	4490	10.0	0.0	1.1
	GAS Liander	Lastageweg	1011DB	1011DD	AMSTERDAM	GAS	KVB	109	100.0	97.25	98	G4	887	0.0	88.99	
	Liander N.V. (NW)	J.W. Siebbeleshof	1011DC	1011DD	AMSTERDAM	ELK	KVB	126	100.0	97.62	90	1x35	4110	97.62	96.83	2.0
	Liander N.V. (NW)	W Frederik Hermansstr	1011DG	1011DG	AMSTERDAM	ELK	KVB	87	100.0	98.85	93	1x35	3374	100.0	98.85	
	Liander N.V. (NW)	Oosterdoksstraat	1011DK	1011DL	AMSTERDAM	ELK	KVB	67	100.0	94.03	79	1x35	5635	49.25	49.25	1.0
	GAS Liander	Oosterdokskade	1011DL	1011EA	AMSTERDAM	GAS	KVB	46	100.0	95.65	85	G4	1819	0.0	26.09	
Liander N.V.	Liander N.V. (NW)	Dijkdwarsstraat	1011DZ	1011EA	AMSTERDAM	ELK	KVB	52	100.0	80.77	69	1x25	2780	25.0	21.15	1.1
	GAS Liander	Recht Boomssloot	1011EB	1011EB	AMSTERDAM	GAS	KVB	21	100.0	100.0	100	G4	881	0.0	57.14	
	Liander N.V. (NW)	Recht Boomssloot	1011EB	1011EB	AMSTERDAM	ELK	KVB	24	100.0	100.0	83	1x25	1551	58.33	58.33	1.0
Liander N.V.	GAS Liander	Recht Boomssloot	1011EC	1011EC	AMSTERDAM	GAS	KVB	18	100.0	88.89	67	G4	2481	0.0	5.56	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot	1011EC	1011EC	AMSTERDAM	ELK	KVB	19	100.0	89.47	47	1x25	7481	21.05	5.26	1.2
	Liander N.V. (NW)	Recht Boomssloot	1011ED	1011ED	AMSTERDAM	ELK	KVB	14	100.0	100.0	86	1x25	1595	28.57	28.57	1.0
	GAS Liander	Recht Boomssloot	1011ED	1011ED	AMSTERDAM	GAS	KVB	12	100.0	100.0	92	G4	1011	0.0	16.67	
	Liander N.V. (NW)	Montelbaanstraat	1011EE	1011EE	AMSTERDAM	ELK	KVB	16	100.0	100.0	100	1x25	1651	0.0	0.0	1.0
	GAS Liander	Montelbaanstraat	1011EE	1011EE	AMSTERDAM	GAS	KVB	16	100.0	100.0	100	G4	880	0.0	0.0	
	GAS Liander	Montelbaanstraat	1011EG	1011EG	AMSTERDAM	GAS	KVB	21	100.0	95.24	95	G4	1323	0.0	0.0	
	Liander N.V. (NW)	Montelbaanstraat	1011EG	1011EG	AMSTERDAM	ELK	KVB	22	100.0	95.45	82	1x25	1682	0.0	0.0	1.0
	Liander N.V. (NW)	Geldersekade	1011EH	1011EH	AMSTERDAM	ELK	KVB	39	100.0	94.87	72	1x25	3413	33.33	30.77	1.1
	GAS Liander	Geldersekade	1011EH	1011EH	AMSTERDAM	GAS	KVB	34	100.0	97.06	91	G4	1380	0.0	29.41	
	GAS Liander	Geldersekade	1011EJ	1011EJ	AMSTERDAM	GAS	KVB	34	100.0	100.0	94	G4	1527	0.0	5.88	
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EJ	1011EJ	AMSTERDAM	ELK	KVB	46	100.0	89.13	41	1x25	5109	10.87	4.35	1.1
Liander N.V.	Liander N.V. (NW)	geldersekd	1011EK	1011EK	AMSTERDAM	ELK	KVB	27	100.0	96.3	41	1x25	6368	29.63	25.93	1.1
	GAS Liander	Geldersekade	1011EK	1011EK	AMSTERDAM	GAS	KVB	23	100.0	91.3	87	G4	2795	0.0	26.09	
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EL	1011EL	AMSTERDAM	ELK	KVB	47	100.0	87.23	47	1x25	4884	29.79	21.28	1.1
Liander N.V.	GAS Liander	Geldersekade	1011EL	1011EL	AMSTERDAM	GAS	KVB	37	100.0	89.19	89	G4	1235	0.0	21.62	
	GAS Liander	Geldersekade	1011EM	1011EM	AMSTERDAM	GAS	KVB	15	100.0	93.33	80	G4	2541	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EM	1011EM	AMSTERDAM	ELK	KVB	23	100.0	86.96	48	1x25	5055	13.04	4.35	1.2
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EN	1011EN	AMSTERDAM	ELK	KVB	30	100.0	96.67	67	1x25	5730	23.33	13.33	1.2
	GAS Liander	Geldersekade	1011EN	1011EN	AMSTERDAM	GAS	KVB	25	100.0	100.0	92	G4	2612	0.0	8.0	
	Liander N.V. (NW)	Waalsteeg	1011ER	1011ER	AMSTERDAM	ELK	KVB	10	100.0	100.0	40	1x25	2458	50.0	50.0	1.0
	GAS Liander	Waalsteeg	1011ER	1011ER	AMSTERDAM	GAS	KVB	10	100.0	100.0	100	G4	1668	0.0	50.0	
	Liander N.V. (NW)	Koningsstraat	1011ES	1011ET	AMSTERDAM	ELK	KVB	42	100.0	100.0	67	1x25	4587	33.33	26.19	1.1
	GAS Liander	Koningsstraat	1011ES	1011ET	AMSTERDAM	GAS	KVB	38	100.0	100.0	97	G4	1525	0.0	23.68	
	Liander N.V. (NW)	Koningsstraat	1011EV	1011EW	AMSTERDAM	ELK	KVB	47	100.0	100.0	45	1x35	3785	31.91	31.91	1.0
	GAS Liander	Koningsstraat	1011EV	1011EW	AMSTERDAM	GAS	KVB	44	100.0	97.73	98	G4	1225	0.0	29.55	
	Liander N.V. (NW)	Korte Koningsstraat	1011EX	1011EX	AMSTERDAM	ELK	KVB	27	100.0	100.0	63	1x25	2148	37.04	33.33	1.2
	GAS Liander	Korte Koningsstraat	1011EX	1011EX	AMSTERDAM	GAS	KVB	25	100.0	100.0	96	G4	1192	0.0	28.0	
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011EZ	1011EZ	AMSTERDAM	ELK	KVB	13	100.0	69.23	54	3x25	1696	15.38	15.38	1.0
	GAS Liander	Korte Koningsstraat	1011EZ	1011GA	AMSTERDAM	GAS	KVB	31	100.0	96.77	97	G4	1026	0.0	51.61	
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011GA	1011GA	AMSTERDAM	ELK	KVB	28	100.0	92.86	61	1x25	2309	75.0	64.29	1.4
Liander N.V.	Liander N.V. (NW)	Korte Koningsdwarsstraat	1011GB	1011GC	AMSTERDAM	ELK	KVB	21	100.0	76.19	38	1x25	1858	71.43	71.43	1.0
	GAS Liander	Korte Koningsdwarsstraat	1011GB	1011GD	AMSTERDAM	GAS	KVB	60	100.0	98.33	97	G4	1261	0.0	81.67	
Liander N.V.	Liander N.V. (NW)	Keizersstraat	1011GD	1011GD	AMSTERDAM	ELK	KVB	52	94.23	96.15	65	1x35	2302	84.62	80.77	1.3
	Liander N.V. (NW)	Korte Keizersstraat	1011GG	1011GG	AMSTERDAM	ELK	KVB	22	100.0	100.0	77	1x35	1407	72.73	72.73	1.0
	GAS Liander	Korte Keizersstraat	1011GG	1011GG	AMSTERDAM	GAS	KVB	19	100.0	100.0	100	G4	1112	0.0	68.42	
	GAS Liander	Korte Keizersstraat	1011GH	1011GH	AMSTERDAM	GAS	KVB	20	100.0	100.0	90	G4	1165	0.0	75.0	
	Liander N.V. (NW)	Korte Keizersstraat	1011GH	1011GH	AMSTERDAM	ELK	KVB	24	100.0	100.0	88	1x25	1448	79.17	75.0	1.2
	GAS Liander	Korte Keizersdwarsstraat	1011GJ	1011GJ	AMSTERDAM	GAS	KVB	16	100.0	100.0	100	G4	1316	0.0	81.25	
	Liander N.V. (NW)	Korte Keizersdwarsstraat	1011GJ	1011GJ	AMSTERDAM	ELK	KVB	18	100.0	100.0	83	1x25	2292	83.33	83.33	1.0
	GAS Liander	Kleersloot	1011GK	1011GL	AMSTERDAM	GAS	KVB	80	100.0	96.25	99	G4	781	0.0	67.5	
	Liander N.V. (NW)	Kleersloot	1011GK	1011GL	AMSTERDAM	ELK	KVB	93	100.0	94.62	77	1x25	1790	67.74	65.59	1.0
	GAS Liander	Korte Dijkstraat	1011GM	1011GM	AMSTERDAM	GAS	KVB	18	100.0	100.0	100	G4	1491	0.0	88.89	
	Liander N.V. (NW)	Korte Dijkstraat	1011GM	1011GM	AMSTERDAM	ELK	KVB	21	100.0	95.24	62	1x25	2212	85.71	85.71	1.0
	GAS Liander	Brandewijnsteeg	1011GN	1011GN	AMSTERDAM	GAS	KVB	26	100.0	96.15	96	G4	1183	0.0	65.38	
	Liander N.V. (NW)	Brandewijnsteeg	1011GN	1011GN	AMSTERDAM	ELK	KVB	26	100.0	96.15	96	1x25	1686	65.38	65.38	1.0
	Liander N.V. (NW)	Krom Boomssloot	1011GP	1011GP	AMSTERDAM	ELK	KVB	14	100.0	92.86	79	1x25	4665	64.29	57.14	1.2
	GAS Liander	Krom Boomssloot	1011GP	1011GR	AMSTERDAM	GAS	KVB	37	100.0	100.0	100	G4	1056	0.0	64.86	
	Liander N.V. (NW)	Krom Boomssloot	1011GR	1011GR	AMSTERDAM	ELK	KVB	33	100.0	93.94	70	1x25	1657	63.64	63.64	1.0
Liander N.V.	GAS Liander	Krom Boomssloot	1011GS	1011GS	AMSTERDAM	GAS	KVB	36	100.0	94.44	89	G4	1412	0.0	58.33	
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011GS	1011GS	AMSTERDAM	ELK	KVB	42	97.62	95.24	40	1x25	4286	66.67	61.9	1.0
	Liander N.V. (NW)	Krom Boomssloot	1011GT	1011GT	AMSTERDAM	ELK	KVB	13	100.0	92.31	77	1x25	2239	84.62	84.62	1.0
	GAS Liander	Krom Boomssloot	1011GT	1011GT	AMSTERDAM	GAS	KVB	10	100.0	90.0	90	G4	794	0.0	80.0	
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011GV	1011GV	AMSTERDAM	ELK	KVB	20	100.0	80.0	45	3x25	1944	55.0	50.0	1.2
	GAS Liander	Krom Boomssloot	1011GV	1011GV	AMSTERDAM	GAS	KVB	15	100.0	86.67	87	G4	1307	0.0	60.0	
	GAS Liander	Krom Boomssloot	1011GW	1011GW	AMSTERDAM	GAS	KVB	10	100.0	80.0	60	G4	3808	0.0	60.0	
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011GW	1011GW	AMSTERDAM	ELK	KVB	12	100.0	83.33	33	3x25	7776	75.0	75.0	1.0
	GAS Liander	Krom Boomssloot	1011GX	1011GX	AMSTERDAM	GAS	KVB	15	100.0	100.0	93	G4	1140	0.0	100.0	
	Liander N.V. (NW)	Krom Boomssloot	1011GX	1011GX	AMSTERDAM	ELK	KVB	19	100.0	100.0	89	1x25	1426	94.74	94.74	1.0
	Liander N.V. (NW)	Snoekjesgracht	1011GZ	1011GZ	AMSTERDAM	ELK	KVB	37	100.0	97.3	97	1x25	1552	86.49	86.49	1.0
	GAS Liander	Snoekjesgracht	1011GZ	1011GZ	AMSTERDAM	GAS	KVB	34	100.0	100.0	100	G4	883	0.0	88.24	
	Liander N.V. (NW)	Snoekjessteeg	1011HA	1011HB	AMSTERDAM	ELK	KVB	229	100.0	97.38	63	1x25	3207	31.88	25.33	1.1
	GAS Liander	Snoekjessteeg	1011HA	1011HB	AMSTERDAM	GAS	KVB	206	100.0	99.03	98	G4	1122	0.0	19.9	
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011HC	1011HC	AMSTERDAM	ELK	KVB	58	100.0	75.86	53	1x25	3738	58.62	56.9	1.0
	GAS Liander	Nieuwe Hoogstraat	1011HC	1011HC	AMSTERDAM	GAS	KVB	48	100.0	79.17	96	G4	876	0.0	60.42	
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011HD	1011HD	AMSTERDAM	ELK	KVB	47	100.0	55.32	51	3x25	4632	55.32	48.94	1.5
