MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
Liander N.V.	GAS Liander	De Ruyterkade	1011AC	1011AC	GAS	KVB	22	100	77,27	45	G4	3849	0	0	1
Liander N.V.	Liander N.V. (NW)	Oosterdokskade	1011AD	1011AD	ELK	KVB	21	100	33,33	57	3x25	4557	47,62	0	2,3
Liander N.V.	GAS Liander	Oosterdokskade	1011AD	1011AE	GAS	KVB	11	100	63,64	82	G4	1231	0	0	1
Liander N.V.	Liander N.V. (NW)	Oosterdokskade AB	1011AE	1011AE	ELK	KVB	19	100	36,84	68	3x25	3231	26,32	0	2,8
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AG	1011AH	GAS	KVB	27	100	100	93	G4	2075	0	0	1
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AH	1011AH	ELK	KVB	21	100	100	67	1x25	3570	14,29	0	1,1
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AJ	1011AJ	ELK	KVB	18	100	94,44	39	1x25	2562	11,11	0	2,1
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AJ	1011AJ	GAS	KVB	15	100	93,33	60	G4	1496	0	0	1
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AM	1011AN	GAS	KVB	27	100	88,89	89	G4	2004	0	0	1
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AN	1011AN	ELK	KVB	28	100	96,43	46	1x25	3637	25	0	1,6
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AP	1011AP	ELK	KVB	20	100	95	40	1x25	4584	15	0	2,7
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AP	1011AP	GAS	KVB	19	100	100	89	G4	2345	0	0	1
Liander N.V.	GAS Liander	Prins Hendrikkade	1011AR	1011AR	GAS	KVB	19	100	94,74	63	G4	2785	0	0	1
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AV	1011AV	ELK	KVB	18	100	94,44	56	3x25	4565	27,78	0	1,6
Liander N.V.	Liander N.V. (NW)	Prins Hendrikkade	1011AW	1011AW	ELK	KVB	21	100	95,24	57	1x25	2760	9,52	0	1,4
