MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011	1011	ELK	KVB	29	100	79,31	62	3x25	2684	51,72	44,83	1,2	CENTRUM
Liander N.V.	GAS Liander	Kromme Waal	1011	1011	GAS	KVB	28	100	75	71	G4	1825	0	46,43		CENTRUM
Liander N.V.	Liander N.V. (NW)	Kromme Waal	1011	1011	ELK	KVB	31	96,77	93,55	48	3x25	2376	45,16	45,16	1,1	CENTRUM
Liander N.V.	GAS Liander	Kromme Waal	1011	1011	GAS	KVB	27	100	96,3	89	G4	1564	0	44,44		CENTRUM
	Liander N.V. (NW)	Kromme Waal	1011	1011	ELK	KVB	23	100	65,22	61	3x25	2262	56,52	52,17	1	CENTRUM
	GAS Liander	Kromme Waal	1011	1011	GAS	KVB	21	100	66,67	67	G4	1594	0	57,14		CENTRUM
	Liander N.V. (NW)	Kromme Waal	1011	1011	ELK	KVB	33	100	96,97	64	1x25	2664	72,73	72,73	1,1	CENTRUM
	GAS Liander	Kromme Waal	1011	1011	GAS	KVB	27	100	100	100	G4	1066	0	74,07		CENTRUM
	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	22	100	100	82	1x25	1430	95,45	95,45	1	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	20	100	100	100	G4	941	0	95		CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	25	100	100	80	G4	1208	0	84		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	28	96,43	92,86	43	1x25	3759	78,57	78,57	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	37	100	56,76	51	3x25	1680	54,05	54,05	1	CENTRUM
Liander N.V.	GAS Liander	Oude Waal	1011	1011	GAS	KVB	24	100	79,17	79	G4	1202	0	75		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	25	100	80	40	1x35	2406	76	76	1	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	18	100	94,44	100	G4	1446	0	94,44		CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	19	100	89,47	95	G4	1599	0	52,63		CENTRUM
	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	21	100	90,48	43	1x25	2294	61,9	57,14	1	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	16	100	100	94	G4	1315	0	93,75		CENTRUM
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot  94 to	1011	1011	ELK	KVB	19	100	94,74	63	1x25	3514	89,47	89,47	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	12	83,33	75	42	3x25	2500	58,33	58,33	1,5	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	34	100	97,06	88	G4	2168	0	23,53		CENTRUM
	GAS Liander	Binnen Bantammerstraat	1011	1011	GAS	KVB	15	100	100	100	G4	1225	0	6,67		CENTRUM
	Liander N.V. (NW)	Binnen Bantammerstraat	1011	1011	ELK	KVB	14	100	100	86	1x25	2230	0	0	1	CENTRUM
	GAS Liander	Binnen Bantammerstraat	1011	1011	GAS	KVB	12	100	100	100	G4	1248	0	0		CENTRUM
	Liander N.V. (NW)	Binnen Bantammerstraat	1011	1011	ELK	KVB	10	100	100	80	1x25	1682	0	0	1	CENTRUM
Liander N.V.	GAS Liander	Binnen Bantammerstraat	1011	1011	GAS	KVB	68	100	91,18	94	G4	1119	0	42,65		CENTRUM
Liander N.V.	Liander N.V. (NW)	Nieuwe Jonkerstraat	1011	1011	ELK	KVB	72	100	81,94	35	3x25	2627	48,61	45,83	1	CENTRUM
	GAS Liander	Nieuwe Ridderstraat	1011	1011	GAS	KVB	10	100	90	90	G4	2417	0	60		CENTRUM
Liander N.V.	Liander N.V. (NW)	Nieuwe Ridderstraat	1011	1011	ELK	KVB	21	100	95,24	57	1x25	2095	19,05	14,29	1,1	CENTRUM
	GAS Liander	Nieuwe Ridderstraat	1011	1011	GAS	KVB	16	100	100	88	G4	2010	0	12,5		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	26	100	96,15	69	1x25	1735	0	0	1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	22	100	100	86	G4	1396	0	0		CENTRUM
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	18	100	88,89	44	1x25	2848	0	0	1	CENTRUM
