MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
	Liander N.V. (NW)	Floraweg	1032	1032	ELK	KVB	17	100	100	88	1x35	3122	17,65	5,88	1,1	NOORD
	GAS Liander	Floraweg	1032	1032	GAS	KVB	16	100	100	100	G4	1019	0	6,25		NOORD
	GAS Liander	Floraweg	1032	1033	GAS	KVB	24	100	100	88	G4	2141	0	12,5		NOORD
	Liander N.V. (NW)	Melkweg	1033	1033	ELK	KVB	33	100	96,97	82	1x25	2380	12,12	3,03	1,1	NOORD
	GAS Liander	Melkweg	1033	1033	GAS	KVB	31	100	96,77	94	G4	1372	0	3,23		NOORD
	GAS Liander	Dierenriem	1033	1033	GAS	KVB	23	100	100	100	G4	1151	0	0		NOORD
	Liander N.V. (NW)	Dierenriem	1033	1033	ELK	KVB	25	100	100	88	1x25	2788	0	0	1	NOORD
	Liander N.V. (NW)	Dierenriem	1033	1033	ELK	KVB	23	100	100	83	1x25	3114	13,04	4,35	1,1	NOORD
	Liander N.V. (NW)	Dierenriem	1033	1033	ELK	KVB	15	100	100	80	1x25	2150	0	0	1	NOORD
	Liander N.V. (NW)	Dierenriem	1033	1033	ELK	KVB	11	100	100	82	1x25	2470	0	0	1	NOORD
Liander N.V.	Liander N.V. (NW)	Telescoophof	1033	1033	ELK	KVB	24	100	75	71	1x25	2333	8,33	0	1,1	NOORD
	GAS Liander	Telescoophof	1033	1033	GAS	KVB	18	100	100	100	G4	990	0	0		NOORD
	Liander N.V. (NW)	Schorpioenstraat	1033	1033	ELK	KVB	18	100	100	100	1x25	1859	5,56	0	1,1	NOORD
	GAS Liander	Schorpioenstraat	1033	1033	GAS	KVB	14	100	100	100	G4	1143	0	0		NOORD
	GAS Liander	Tweelingenhof	1033	1033	GAS	KVB	18	100	100	100	G4	1117	0	0		NOORD
Liander N.V.	Liander N.V. (NW)	Tweelingenhof	1033	1033	ELK	KVB	27	100	70,37	63	1x25	2661	3,7	0	1,1	NOORD
	GAS Liander	Watermanstraat	1033	1033	GAS	KVB	10	100	100	90	G4	950	0	0		NOORD
	Liander N.V. (NW)	Watermanstraat	1033	1033	ELK	KVB	13	100	92,31	100	1x25	2114	0	0	1	NOORD
	GAS Liander	Dolfijnhof	1033	1033	GAS	KVB	17	100	100	100	G4	1094	0	0		NOORD
Liander N.V.	Liander N.V. (NW)	Dolfijnhof	1033	1033	ELK	KVB	25	100	72	56	1x25	2609	4	0	1	NOORD
	Liander N.V. (NW)	Appelweg	1033	1033	ELK	KVB	11	100	100	100	1x25	1755	0	0	1	NOORD
	GAS Liander	Appelweg	1033	1033	GAS	KVB	11	100	100	100	G4	818	0	0		NOORD
	Liander N.V. (NW)	Appelweg	1033	1033	ELK	KVB	16	100	100	94	1x25	1231	18,75	12,5	1,1	NOORD
	GAS Liander	Appelweg	1033	1033	GAS	KVB	16	100	100	94	G4	739	0	12,5		NOORD
	GAS Liander	Appelweg	1033	1033	GAS	KVB	11	100	100	100	G4	1946	0	45,45		NOORD
	GAS Liander	Appelweg	1033	1033	GAS	KVB	32	100	100	94	G4	1674	0	3,13		NOORD
	Liander N.V. (NW)	Centaurusstraat	1033	1033	ELK	KVB	24	100	100	96	1x25	2356	0	0	1	NOORD
	GAS Liander	Mercuriusplein	1033	1033	GAS	KVB	12	100	100	67	G4	2959	0	8,33		NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	23	100	100	100	G4	1244	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	26	100	96,15	88	1x35	1924	7,69	3,85	1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	23	100	100	100	G4	1061	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	24	100	95,83	79	1x25	2072	4,17	0	1	NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	18	100	88,89	56	1x25	2624	0	0	1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	16	100	100	94	G4	1325	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	21	100	95,24	81	1x25	2371	0	0	1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	21	100	95,24	95	G4	1144	0	0		NOORD
Liander N.V.	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	21	100	95,24	62	1x25	4093	9,52	4,76	1,1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	17	100	100	88	G4	2456	0	5,88		NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	20	100	100	100	G4	1403	0	5		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	21	100	100	86	1x25	2223	9,52	4,76	1,1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	22	100	100	100	G4	1249	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	27	100	100	81	1x25	1921	7,41	3,7	1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	22	100	100	100	G4	1308	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	25	100	96	84	1x25	2618	12	0	1,1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	20	100	100	100	G4	1152	0	10		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	22	90,91	95,45	86	1x25	2682	18,18	9,09	1,1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	22	100	100	95	G4	1633	0	0		NOORD
Liander N.V.	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	23	100	95,65	43	1x25	2583	4,35	0	1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	18	100	100	89	G4	851	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	22	90,91	86,36	68	1x25	1635	9,09	4,55	1,1	NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	18	100	100	72	1x25	1627	0	0	1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	16	100	100	100	G4	1312	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	23	100	95,65	74	1x25	2939	0	0	1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	22	100	100	100	G4	1421	0	0		NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	15	100	100	100	G4	1368	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	18	100	88,89	78	1x25	2192	5,56	0	1	NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	17	100	94,12	82	1x25	2675	5,88	0	1,1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	16	100	100	100	G4	1490	0	0		NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	14	100	100	100	G4	1132	0	0		NOORD
	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	14	100	100	93	1x25	2628	0	0	1	NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	15	100	93,33	80	G4	1277	0	13,33		NOORD
	GAS Liander	Kometensingel	1033	1033	GAS	KVB	19	100	94,74	89	G4	1927	0	0		NOORD
Liander N.V.	Liander N.V. (NW)	Kometensingel	1033	1033	ELK	KVB	20	100	95	65	3x25	4406	15	0	1,1	NOORD
	GAS Liander	Meteorensingel	1033	1033	GAS	KVB	16	100	100	100	G4	1103	0	0		NOORD
	Liander N.V. (NW)	Meteorensingel	1033	1033	ELK	KVB	16	100	100	100	1x35	2515	6,25	0	1,1	NOORD
Liander N.V.	Liander N.V. (NW)	Meteorensingel	1033	1033	ELK	KVB	17	100	88,24	82	1x35	4143	17,65	5,88	1	NOORD
	GAS Liander	Meteorensingel	1033	1033	GAS	KVB	14	100	100	93	G4	2273	0	0		NOORD
	Liander N.V. (NW)	Meteorensingel	1033	1033	ELK	KVB	12	100	100	67	1x25	2155	0	0	1	NOORD
	GAS Liander	Meteorensingel	1033	1033	GAS	KVB	11	100	100	91	G4	1409	0	0		NOORD
	Liander N.V. (NW)	Poolsterstraat	1033	1033	ELK	KVB	22	100	100	55	1x25	2226	13,64	9,09	1,1	NOORD
	GAS Liander	Poolsterstraat	1033	1033	GAS	KVB	22	100	100	100	G4	1185	0	9,09		NOORD
	GAS Liander	Zonneweg	1033	1033	GAS	KVB	20	100	100	100	G4	1161	0	5		NOORD
	Liander N.V. (NW)	Zonneweg	1033	1033	ELK	KVB	21	100	95,24	95	1x25	2437	9,52	4,76	1,1	NOORD
	GAS Liander	Zonneweg	1033	1033	GAS	KVB	10	100	100	90	G4	1661	0	0		NOORD
	Liander N.V. (NW)	Zonneweg	1033	1033	ELK	KVB	20	95	100	75	1x35	3001	0	0	1	NOORD
	GAS Liander	Zonneweg	1033	1033	GAS	KVB	20	100	100	100	G4	2773	0	0		NOORD
	GAS Liander	Zonneweg	1033	1033	GAS	KVB	13	100	100	100	G4	1244	0	38,46		NOORD
	Liander N.V. (NW)	Zonneweg	1033	1033	ELK	KVB	13	100	100	46	1x35	1748	38,46	38,46	1	NOORD
	GAS Liander	Kleine Zonneplein	1033	1033	GAS	KVB	10	100	100	100	G4	1350	0	0		NOORD
	Liander N.V. (NW)	Kleine Zonneplein	1033	1033	ELK	KVB	10	100	100	90	1x25	2344	10	0	1,1	NOORD
	GAS Liander	Kleine Zonneplein	1033	1033	GAS	KVB	10	100	100	100	G4	1068	0	0		NOORD
Liander N.V.	Liander N.V. (NW)	Kleine Zonneplein	1033	1033	ELK	KVB	12	100	91,67	75	1x35	2088	0	0	1	NOORD
	Liander N.V. (NW)	Spicastraat	1033	1033	ELK	KVB	27	100	100	52	1x25	2533	7,41	0	1,1	NOORD
	GAS Liander	Spicastraat	1033	1033	GAS	KVB	27	100	100	100	G4	1033	0	0		NOORD
	GAS Liander	Kleine Beerstraat	1033	1033	GAS	KVB	14	100	100	100	G4	1044	0	0		NOORD
	Liander N.V. (NW)	Kleine Beerstraat	1033	1033	ELK	KVB	14	100	100	79	1x35	2870	0	0	1	NOORD
	Liander N.V. (NW)	Planetenplein	1033	1033	ELK	KVB	13	100	100	85	1x25	1794	0	0	1	NOORD
	GAS Liander	Planetenplein	1033	1033	GAS	KVB	12	100	100	100	G4	1253	0	0		NOORD
	GAS Liander	Planetenplein	1033	1033	GAS	KVB	10	100	100	100	G4	1165	0	0		NOORD
	Liander N.V. (NW)	Planetenplein	1033	1033	ELK	KVB	11	100	90,91	91	1x25	3603	9,09	0	1,1	NOORD
	Liander N.V. (NW)	Sterrenplein	1033	1033	ELK	KVB	12	100	100	100	1x35	2746	0	0	1	NOORD
	GAS Liander	Sterrenplein	1033	1033	GAS	KVB	12	100	100	100	G4	1126	0	0		NOORD
	GAS Liander	Sterrenplein	1033	1033	GAS	KVB	12	100	100	100	G4	893	0	0		NOORD
	Liander N.V. (NW)	Sterrenplein	1033	1033	ELK	KVB	12	100	100	92	1x35	2195	8,33	0	1,1	NOORD
	GAS Liander	Grote Beerstraat	1033	1033	GAS	KVB	24	100	100	100	G4	1102	0	0		NOORD
	Liander N.V. (NW)	Grote Beerstraat	1033	1033	ELK	KVB	24	100	100	63	1x35	2617	0	0	1	NOORD
	Liander N.V. (NW)	Grote Beerstraat	1033	1033	ELK	KVB	24	100	95,83	50	1x25	2185	0	0	1	NOORD
	GAS Liander	Grote Beerstraat	1033	1033	GAS	KVB	23	100	100	100	G4	1005	0	0		NOORD
	GAS Liander	Strekkerweg	1033	1033	GAS	KVB	41	100	97,56	85	G4	2897	0	0		NOORD
	GAS Liander	Scheepsbouwweg	1033	1033	GAS	KVB	18	100	100	100	G4	849	0	0		NOORD
Liander N.V.	Liander N.V. (NW)	Scheepsbouwweg	1033	1033	ELK	KVB	20	100	95	80	1x35	2532	15	5	1,1	NOORD
	GAS Liander	Scheepsbouwweg	1033	1033	GAS	KVB	18	100	100	100	G4	1062	0	5,56		NOORD
	Liander N.V. (NW)	Scheepsbouwweg	1033	1033	ELK	KVB	19	100	100	89	1x35	2367	10,53	10,53	1	NOORD
	GAS Liander	Krasseurstraat	1033	1033	GAS	KVB	22	100	100	100	G4	1012	0	4,55		NOORD
	Liander N.V. (NW)	Krasseurstraat	1033	1033	ELK	KVB	24	100	100	88	1x35	2921	8,33	4,17	1	NOORD
	Liander N.V. (NW)	Krasseurstraat	1033	1033	ELK	KVB	23	100	100	87	1x35	3089	4,35	0	1	NOORD
	GAS Liander	Krasseurstraat	1033	1033	GAS	KVB	22	100	100	100	G4	1045	0	0		NOORD
	Liander N.V. (NW)	Krasseurstraat	1033	1033	ELK	KVB	47	97,87	100	91	1x35	3070	6,38	2,13	1	NOORD
	GAS Liander	Krasseurstraat	1033	1033	GAS	KVB	44	100	100	100	G4	1123	0	2,27		NOORD
	Liander N.V. (NW)	Ponserstraat	1033	1033	ELK	KVB	19	100	100	95	1x35	2455	15,79	5,26	1,1	NOORD
	GAS Liander	Ponserstraat	1033	1033	GAS	KVB	18	100	100	100	G4	925	0	0		NOORD
	GAS Liander	Ponserstraat	1033	1033	GAS	KVB	15	100	100	100	G4	779	0	0		NOORD
	Liander N.V. (NW)	Ponserstraat	1033	1033	ELK	KVB	16	100	100	94	1x35	1724	6,25	0	1,1	NOORD
	GAS Liander	Modelmakerstraat	1033	1033	GAS	KVB	17	100	100	100	G4	968	0	0		NOORD
	Liander N.V. (NW)	Modelmakerstraat	1033	1033	ELK	KVB	18	100	100	89	1x35	2968	16,67	5,56	1,1	NOORD
	GAS Liander	Modelmakerstraat	1033	1033	GAS	KVB	15	100	100	100	G4	954	0	6,67		NOORD
	Liander N.V. (NW)	Modelmakerstraat	1033	1033	ELK	KVB	16	93,75	100	88	1x35	2569	18,75	12,5	1,1	NOORD
	GAS Liander	Kabelgaststraat	1033	1033	GAS	KVB	15	100	100	100	G4	727	0	0		NOORD
	Liander N.V. (NW)	Kabelgaststraat	1033	1033	ELK	KVB	16	100	100	94	1x35	1845	0	0	1	NOORD
	GAS Liander	Kabelgaststraat	1033	1033	GAS	KVB	16	100	93,75	94	G4	816	0	0		NOORD
	Liander N.V. (NW)	Kabelgaststraat	1033	1033	ELK	KVB	16	100	100	94	1x35	2102	6,25	0	1,1	NOORD
	GAS Liander	Kabelgaststraat	1033	1033	GAS	KVB	15	100	100	100	G4	813	0	0		NOORD
	Liander N.V. (NW)	Kabelgaststraat	1033	1033	ELK	KVB	16	100	100	88	1x35	1682	18,75	0	1,2	NOORD
	Liander N.V. (NW)	Kabelgaststraat	1033	1033	ELK	KVB	22	100	100	86	1x35	2516	9,09	9,09	1	NOORD
	GAS Liander	Kabelgaststraat	1033	1033	GAS	KVB	20	100	100	100	G4	1003	0	5		NOORD
	GAS Liander	Krasseurstraat	1033	1033	GAS	KVB	24	100	100	100	G4	1137	0	0		NOORD
	Liander N.V. (NW)	Krasseurstraat	1033	1033	ELK	KVB	25	100	100	48	1x25	3454	0	0	1	NOORD
	GAS Liander	Krasseurstraat	1033	1033	GAS	KVB	24	100	100	100	G4	962	0	4,17		NOORD
	Liander N.V. (NW)	Krasseurstraat	1033	1033	ELK	KVB	24	95,83	95,83	50	1x35	2917	0	4,17	1	NOORD
	Liander N.V. (NW)	Vlakkerweg	1033	1033	ELK	KVB	17	100	100	88	1x35	2098	11,76	5,88	1,1	NOORD
	GAS Liander	Vlakkerweg	1033	1033	GAS	KVB	15	100	100	100	G4	827	0	0		NOORD
	Liander N.V. (NW)	Vlakkerweg	1033	1033	ELK	KVB	52	100	98,08	92	1x35	2221	5,77	0	1,1	NOORD
	GAS Liander	Vlakkerweg	1033	1033	GAS	KVB	49	100	97,96	100	G4	925	0	0		NOORD
	Liander N.V. (NW)	Planetenstraat	1033	1033	ELK	KVB	28	100	96,43	64	1x35	1955	3,57	0	1	NOORD
	GAS Liander	Planetenstraat	1033	1033	GAS	KVB	28	100	100	100	G4	1012	0	0		NOORD
	Liander N.V. (NW)	Argostraat	1033	1033	ELK	KVB	19	100	94,74	58	1x25	3025	5,26	5,26	1	NOORD
	GAS Liander	Argostraat	1033	1033	GAS	KVB	19	100	94,74	95	G4	1517	0	5,26		NOORD
	GAS Liander	Argostraat	1033	1033	GAS	KVB	30	100	100	100	G4	1133	0	0		NOORD
	Liander N.V. (NW)	Argostraat	1033	1033	ELK	KVB	30	100	100	70	1x25	2735	0	0	1	NOORD
	GAS Liander	Steenbokstraat	1033	1033	GAS	KVB	11	100	100	100	G4	1015	0	0		NOORD
	Liander N.V. (NW)	Steenbokstraat	1033	1033	ELK	KVB	11	100	100	82	1x25	1799	27,27	27,27	1	NOORD
	GAS Liander	Zonneplein	1033	1033	GAS	KVB	11	100	100	45	G4	4510	0	9,09		NOORD
	Liander N.V. (NW)	Zonneplein	1033	1033	ELK	KVB	21	100	90,48	67	3x25	3490	95,24	85,71	1	NOORD
	GAS Liander	Zonneplein	1033	1033	GAS	KVB	20	100	90	95	G4	1450	0	90		NOORD
	Liander N.V. (NW)	Kreeftstraat	1033	1033	ELK	KVB	12	100	100	50	1x35	2412	0	0	1	NOORD
	GAS Liander	Kreeftstraat	1033	1033	GAS	KVB	21	100	95,24	100	G4	1100	0	0		NOORD
	Liander N.V. (NW)	Siriusstraat	1033	1033	ELK	KVB	12	100	100	83	1x25	1830	0	0	1	NOORD
	GAS Liander	Siriusstraat	1033	1033	GAS	KVB	12	100	100	100	G4	1134	0	0		NOORD
	Liander N.V. (NW)	Siriusstraat	1033	1033	ELK	KVB	12	100	100	100	1x25	2393	0	0	1	NOORD
	Liander N.V. (NW)	Siriusstraat	1033	1033	ELK	KVB	10	100	100	100	1x35	2179	10	10	1	NOORD
	GAS Liander	Siriusstraat	1033	1033	GAS	KVB	10	100	100	100	G4	1174	0	10		NOORD
	GAS Liander	Siriusstraat	1033	1033	GAS	KVB	11	100	100	91	G4	1380	0	0		NOORD
	Liander N.V. (NW)	Siriusstraat	1033	1033	ELK	KVB	11	100	100	91	1x25	2570	9,09	9,09	1	NOORD
	GAS Liander	Orionstraat	1033	1033	GAS	KVB	20	100	100	100	G4	1193	0	0		NOORD
	Liander N.V. (NW)	Orionstraat	1033	1033	ELK	KVB	20	100	100	50	1x35	3208	5	0	1,1	NOORD
	GAS Liander	Orionstraat	1033	1033	GAS	KVB	26	100	88,46	92	G4	1379	0	3,85		NOORD
	Liander N.V. (NW)	Orionstraat	1033	1033	ELK	KVB	26	100	88,46	69	1x25	2394	7,69	3,85	1	NOORD
	Liander N.V. (NW)	Orionstraat	1033	1033	ELK	KVB	17	100	100	94	1x25	2641	5,88	0	1,1	NOORD
	GAS Liander	Orionstraat	1033	1033	GAS	KVB	17	100	100	94	G4	1395	0	0		NOORD
	GAS Liander	Orionstraat	1033	1033	GAS	KVB	23	100	100	100	G4	1185	0	0		NOORD
	Liander N.V. (NW)	Orionstraat	1033	1033	ELK	KVB	23	100	100	87	1x25	2405	0	0	1	NOORD
	GAS Liander	Polluxstraat	1033	1033	GAS	KVB	15	100	100	100	G4	1336	0	0		NOORD
	Liander N.V. (NW)	Polluxstraat	1033	1033	ELK	KVB	15	100	100	93	1x25	2680	6,67	0	1,1	NOORD
	GAS Liander	Castorstraat	1033	1033	GAS	KVB	14	100	100	100	G4	3251	0	0		NOORD
	Liander N.V. (NW)	Castorstraat	1033	1033	ELK	KVB	14	100	100	64	1x25	2799	7,14	0	1,1	NOORD
	Liander N.V. (NW)	Betelgeuzestraat	1033	1033	ELK	KVB	28	100	100	64	1x25	2478	0	0	1	NOORD
	GAS Liander	Betelgeuzestraat	1033	1033	GAS	KVB	28	100	100	100	G4	1055	0	0		NOORD
	GAS Liander	Polluxplein	1033	1033	GAS	KVB	14	100	100	100	G4	1108	0	0		NOORD
	Liander N.V. (NW)	Polluxplein	1033	1033	ELK	KVB	14	100	100	93	1x25	2314	0	0	1	NOORD
	GAS Liander	Polluxplein	1033	1033	GAS	KVB	13	100	100	100	G4	1105	0	0		NOORD
	Liander N.V. (NW)	Polluxplein	1033	1033	ELK	KVB	13	100	100	92	1x25	2355	7,69	0	1,1	NOORD
	GAS Liander	Castorplein	1033	1033	GAS	KVB	14	100	100	100	G4	967	0	0		NOORD
	Liander N.V. (NW)	Castorplein	1033	1033	ELK	KVB	14	100	100	71	1x35	2254	0	0	1	NOORD
	Liander N.V. (NW)	Castorplein	1033	1033	ELK	KVB	14	100	100	71	1x35	2535	7,14	7,14	1	NOORD
	GAS Liander	Castorplein	1033	1033	GAS	KVB	14	100	100	100	G4	1037	0	7,14		NOORD
	Liander N.V. (NW)	Rigelstraat	1033	1033	ELK	KVB	10	100	100	50	1x25	2288	0	0	1	NOORD
	GAS Liander	Rigelstraat	1033	1033	GAS	KVB	10	100	100	100	G4	1072	0	0		NOORD
	Liander N.V. (NW)	Rigelstraat	1033	1033	ELK	KVB	16	100	100	63	1x25	2746	0	0	1	NOORD
	GAS Liander	Rigelstraat	1033	1033	GAS	KVB	16	100	100	100	G4	1185	0	0		NOORD
	GAS Liander	Rigelstraat	1033	1033	GAS	KVB	14	100	100	100	G4	1084	0	0		NOORD
	Liander N.V. (NW)	Rigelstraat	1033	1033	ELK	KVB	14	100	100	71	1x35	2339	0	0	1	NOORD
	Liander N.V. (NW)	Aldebaranstraat	1033	1033	ELK	KVB	14	100	100	57	1x35	2664	7,14	0	1,1	NOORD
	GAS Liander	Aldebaranstraat	1033	1033	GAS	KVB	14	100	100	100	G4	1169	0	0		NOORD
	GAS Liander	Aldebaranstraat	1033	1033	GAS	KVB	14	100	100	100	G4	1175	0	0		NOORD
	Liander N.V. (NW)	Aldebaranstraat	1033	1033	ELK	KVB	14	100	100	100	1x35	3143	0	0	1	NOORD
	GAS Liander	Aldebaranstraat	1033	1033	GAS	KVB	11	100	100	100	G4	1644	0	0		NOORD
	Liander N.V. (NW)	Aldebaranstraat	1033	1033	ELK	KVB	14	100	78,57	71	1x35	2511	0	0	1	NOORD
	Liander N.V. (NW)	Aldebaranstraat	1033	1033	ELK	KVB	18	100	94,44	89	1x35	2593	5,56	5,56	1	NOORD
	GAS Liander	Aldebaranstraat	1033	1033	GAS	KVB	17	100	100	100	G4	1259	0	5,88		NOORD
	GAS Liander	Aldebaranplein	1033	1033	GAS	KVB	20	100	100	100	G4	1102	0	0		NOORD
	Liander N.V. (NW)	Aldebaranplein	1033	1033	ELK	KVB	21	100	100	71	1x35	1860	4,76	0	1	NOORD
	Liander N.V. (NW)	Aldebaranplein	1033	1033	ELK	KVB	10	100	100	80	1x35	5069	20	10	1,1	NOORD
	GAS Liander	Aldebaranplein	1033	1033	GAS	KVB	33	100	96,97	91	G4	2255	0	3,03		NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	27	100	96,3	63	1x25	2637	3,7	0	1	NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	21	95,24	100	90	1x25	3173	4,76	0	1	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	21	100	100	90	G4	1522	0	0		NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	23	95,65	91,3	78	1x25	2133	8,7	0	1,1	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	20	100	100	90	G4	1247	0	0		NOORD
Liander N.V.	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	18	100	88,89	83	1x25	3130	22,22	5,56	1,2	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	16	100	93,75	100	G4	1359	0	6,25		NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	19	100	100	100	G4	1354	0	36,84		NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	21	100	95,24	57	1x25	2849	38,1	38,1	1	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	22	100	100	100	G4	1457	0	9,09		NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	22	100	100	82	1x25	3431	13,64	9,09	1,1	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	21	100	100	95	G4	1041	0	0		NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	24	95,83	100	79	1x25	2071	4,17	0	1,1	NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	22	100	100	95	1x25	3476	4,55	4,55	1	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	22	100	100	100	G4	959	0	0		NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	19	100	100	63	G4	1392	0	5,26		NOORD
Liander N.V.	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	23	100	82,61	74	1x25	3873	17,39	4,35	1,1	NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	28	100	100	82	1x35	2610	14,29	3,57	1,1	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	27	100	100	100	G4	1093	0	3,7		NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	24	100	100	75	1x25	2846	4,17	0	1	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	23	100	100	100	G4	1515	0	0		NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	16	100	100	100	G4	1330	0	6,25		NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	18	94,44	100	83	1x25	2682	16,67	5,56	1,2	NOORD
Liander N.V.	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	19	89,47	94,74	89	1x25	2381	5,26	0	1,1	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	19	100	94,74	95	G4	1505	0	0		NOORD
	Liander N.V. (NW)	Meteorenweg	1033	1033	ELK	KVB	23	95,65	100	70	1x25	4487	21,74	0	1,3	NOORD
	GAS Liander	Meteorenweg	1033	1033	GAS	KVB	24	100	91,67	100	G4	1159	0	0		NOORD
	Liander N.V. (NW)	Vegastraat	1033	1033	ELK	KVB	16	87,5	93,75	56	1x25	2974	6,25	6,25	1	NOORD
	GAS Liander	Vegastraat	1033	1033	GAS	KVB	15	100	100	100	G4	1275	0	6,67		NOORD
	Liander N.V. (NW)	Vegastraat	1033	1033	ELK	KVB	13	100	100	100	1x25	2470	0	0	1	NOORD
	GAS Liander	Vegastraat	1033	1033	GAS	KVB	13	100	100	92	G4	1336	0	0		NOORD
	GAS Liander	Vegastraat	1033	1033	GAS	KVB	24	100	100	100	G4	1400	0	0		NOORD
	Liander N.V. (NW)	Vegastraat	1033	1033	ELK	KVB	24	95,83	100	100	1x25	2573	8,33	0	1,1	NOORD
	GAS Liander	Vegastraat	1033	1033	GAS	KVB	23	100	100	96	G4	1248	0	0		NOORD
	Liander N.V. (NW)	Vegastraat	1033	1033	ELK	KVB	23	100	100	91	1x25	2242	4,35	0	1,1	NOORD
	Liander N.V. (NW)	Vegastraat	1033	1033	ELK	KVB	19	94,74	100	100	1x25	2447	0	0	1	NOORD
	GAS Liander	Vegastraat	1033	1033	GAS	KVB	19	100	100	100	G4	1220	0	0		NOORD
	Liander N.V. (NW)	Vegastraat	1033	1033	ELK	KVB	21	90,48	100	57	1x25	1871	9,52	14,29	1	NOORD
	GAS Liander	Vegastraat	1033	1033	GAS	KVB	20	100	100	100	G4	1381	0	15		NOORD
