MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
	Liander N.V. (NW)	Oude Waal	1011BX	1011BX	ELK	KVB	22	100.0	100.0	82	1x25	1415	95.45	95.45	1.0
	GAS Liander	Oude Waal	1011BX	1011BX	GAS	KVB	20	100.0	100.0	100	G4	946	0.0	95.0	
	GAS Liander	Oude Waal	1011BZ	1011BZ	GAS	KVB	25	100.0	100.0	80	G4	1258	0.0	84.0	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011BZ	1011BZ	ELK	KVB	28	96.43	92.86	43	1x25	3662	78.57	78.57	1.0
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CA	1011CA	ELK	KVB	37	100.0	56.76	51	3x25	1742	54.05	54.05	1.0
Liander N.V.	GAS Liander	Oude Waal	1011CA	1011CA	GAS	KVB	24	100.0	79.17	79	G4	1290	0.0	75.0	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CB	1011CB	ELK	KVB	25	100.0	80.0	40	1x35	2183	72.0	76.0	1.0
	GAS Liander	Oude Waal	1011CB	1011CB	GAS	KVB	18	100.0	94.44	100	G4	1435	0.0	94.44	
	GAS Liander	Oude Waal	1011CC	1011CC	GAS	KVB	19	100.0	89.47	95	G4	1588	0.0	52.63	
	Liander N.V. (NW)	Oude Waal	1011CC	1011CC	ELK	KVB	21	100.0	90.48	48	1x25	2038	61.9	57.14	1.0
	GAS Liander	Oude Waal	1011CD	1011CD	GAS	KVB	16	100.0	100.0	94	G4	1326	0.0	93.75	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot  94 to	1011CD	1011CD	ELK	KVB	19	100.0	94.74	63	1x25	2268	89.47	89.47	1.0
	GAS Liander	Oude Waal	1011CE	1011CH	GAS	KVB	34	100.0	97.06	88	G4	2161	0.0	23.53	
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011CE	1011CE	ELK	KVB	12	83.33	75.0	42	3x25	2916	50.0	58.33	1.5
	GAS Liander	Binnen Bantammerstraat	1011CJ	1011CJ	GAS	KVB	15	100.0	100.0	100	G4	1196	0.0	6.67	
	GAS Liander	Binnen Bantammerstraat	1011CK	1011CK	GAS	KVB	12	100.0	100.0	100	G4	1273	0.0	8.33	
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CK	1011CK	ELK	KVB	14	100.0	100.0	79	1x25	2400	7.14	7.14	1.0
Liander N.V.	GAS Liander	Binnen Bantammerstraat	1011CL	1011CM	GAS	KVB	68	100.0	91.18	94	G4	1154	0.0	42.65	
	Liander N.V. (NW)	Binnen Bantammerstraat	1011CL	1011CL	ELK	KVB	10	100.0	100.0	80	1x25	1647	0.0	0.0	1.0
Liander N.V.	Liander N.V. (NW)	Nieuwe Jonkerstraat	1011CM	1011CM	ELK	KVB	72	100.0	81.94	35	3x25	2537	48.61	45.83	1.0
	GAS Liander	Nieuwe Ridderstraat	1011CN	1011CN	GAS	KVB	10	100.0	90.0	90	G4	2422	0.0	60.0	
	Liander N.V. (NW)	Nieuwe Ridderstraat	1011CN	1011CN	ELK	KVB	13	100.0	84.62	54	3x25	4510	61.54	46.15	1.2
Liander N.V.	Liander N.V. (NW)	Nieuwe Ridderstraat	1011CP	1011CR	ELK	KVB	21	100.0	95.24	57	1x25	2100	19.05	14.29	1.1
	GAS Liander	Nieuwe Ridderstraat	1011CP	1011CR	GAS	KVB	16	100.0	100.0	88	G4	2090	0.0	12.5	
	Liander N.V. (NW)	Recht Boomssloot	1011CS	1011CS	ELK	KVB	26	100.0	96.15	69	1x25	1842	0.0	0.0	1.0
	GAS Liander	Recht Boomssloot	1011CS	1011CS	GAS	KVB	22	100.0	100.0	86	G4	1391	0.0	0.0	
Liander N.V.	GAS Liander	Recht Boomssloot	1011CT	1011CT	GAS	KVB	17	100.0	94.12	100	G4	1293	0.0	0.0	
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot	1011CT	1011CT	ELK	KVB	18	100.0	88.89	44	1x25	2527	0.0	0.0	1.0
	GAS Liander	Recht Boomssloot	1011CV	1011CV	GAS	KVB	18	100.0	94.44	100	G4	1241	0.0	5.56	
	Liander N.V. (NW)	Recht Boomssloot	1011CV	1011CV	ELK	KVB	19	100.0	100.0	58	1x25	1532	26.32	26.32	1.1
	GAS Liander	Recht Boomssloot	1011CW	1011CW	GAS	KVB	13	100.0	100.0	100	G4	1050	0.0	0.0	
	Liander N.V. (NW)	Recht Boomssloot	1011CW	1011CW	ELK	KVB	15	100.0	93.33	53	1x25	2316	0.0	0.0	1.0
	GAS Liander	Recht Boomssloot	1011CX	1011CX	GAS	KVB	19	100.0	100.0	95	G4	1047	0.0	5.26	
	Liander N.V. (NW)	Recht Boomssloot	1011CX	1011CX	ELK	KVB	19	100.0	100.0	68	1x25	2550	5.26	5.26	1.0
	Liander N.V. (NW)	Recht Boomssloot	1011CZ	1011CZ	ELK	KVB	22	81.82	86.36	59	1x25	2311	22.73	22.73	1.1
	GAS Liander	Recht Boomssloot	1011CZ	1011CZ	GAS	KVB	19	100.0	100.0	95	G4	1248	0.0	26.32	
	Liander N.V. (NW)	Lastageweg	1011DB	1011DB	ELK	KVB	10	100.0	100.0	90	1x25	4490	10.0	0.0	1.1
	GAS Liander	Lastageweg	1011DB	1011DD	GAS	KVB	109	100.0	97.25	98	G4	887	0.0	88.99	
	Liander N.V. (NW)	J.W. Siebbeleshof	1011DC	1011DD	ELK	KVB	126	100.0	97.62	90	1x35	4110	97.62	96.83	2.0
	Liander N.V. (NW)	W Frederik Hermansstr	1011DG	1011DG	ELK	KVB	87	100.0	98.85	93	1x35	3374	100.0	98.85	
	GAS Liander	Oosterdokskade	1011DL	1011EA	GAS	KVB	46	100.0	95.65	85	G4	1819	0.0	26.09	
Liander N.V.	Liander N.V. (NW)	Dijkdwarsstraat	1011DZ	1011EA	ELK	KVB	52	100.0	80.77	69	1x25	2780	25.0	21.15	1.1
	GAS Liander	Recht Boomssloot	1011EB	1011EB	GAS	KVB	21	100.0	100.0	100	G4	881	0.0	57.14	
	Liander N.V. (NW)	Recht Boomssloot	1011EB	1011EB	ELK	KVB	24	100.0	100.0	83	1x25	1551	58.33	58.33	1.0
Liander N.V.	GAS Liander	Recht Boomssloot	1011EC	1011EC	GAS	KVB	18	100.0	88.89	67	G4	2481	0.0	5.56	
	Liander N.V. (NW)	Recht Boomssloot	1011ED	1011ED	ELK	KVB	14	100.0	100.0	86	1x25	1595	28.57	28.57	1.0
	GAS Liander	Recht Boomssloot	1011ED	1011ED	GAS	KVB	12	100.0	100.0	92	G4	1011	0.0	16.67	
	Liander N.V. (NW)	Montelbaanstraat	1011EE	1011EE	ELK	KVB	16	100.0	100.0	100	1x25	1651	0.0	0.0	1.0
	GAS Liander	Montelbaanstraat	1011EE	1011EE	GAS	KVB	16	100.0	100.0	100	G4	880	0.0	0.0	
	GAS Liander	Montelbaanstraat	1011EG	1011EG	GAS	KVB	21	100.0	95.24	95	G4	1323	0.0	0.0	
	Liander N.V. (NW)	Montelbaanstraat	1011EG	1011EG	ELK	KVB	22	100.0	95.45	82	1x25	1682	0.0	0.0	1.0
	Liander N.V. (NW)	Geldersekade	1011EH	1011EH	ELK	KVB	39	100.0	94.87	72	1x25	3413	33.33	30.77	1.1
	GAS Liander	Geldersekade	1011EH	1011EH	GAS	KVB	34	100.0	97.06	91	G4	1380	0.0	29.41	
	GAS Liander	Geldersekade	1011EJ	1011EJ	GAS	KVB	34	100.0	100.0	94	G4	1527	0.0	5.88	
	GAS Liander	Geldersekade	1011EK	1011EK	GAS	KVB	23	100.0	91.3	87	G4	2795	0.0	26.09	
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011EL	1011EL	ELK	KVB	47	100.0	87.23	47	1x25	4884	29.79	21.28	1.1
Liander N.V.	GAS Liander	Geldersekade	1011EL	1011EL	GAS	KVB	37	100.0	89.19	89	G4	1235	0.0	21.62	
	GAS Liander	Geldersekade	1011EM	1011EM	GAS	KVB	15	100.0	93.33	80	G4	2541	0.0	0.0	
	GAS Liander	Geldersekade	1011EN	1011EN	GAS	KVB	25	100.0	100.0	92	G4	2612	0.0	8.0	
	Liander N.V. (NW)	Waalsteeg	1011ER	1011ER	ELK	KVB	10	100.0	100.0	40	1x25	2458	50.0	50.0	1.0
	GAS Liander	Waalsteeg	1011ER	1011ER	GAS	KVB	10	100.0	100.0	100	G4	1668	0.0	50.0	
	Liander N.V. (NW)	Koningsstraat	1011ES	1011ET	ELK	KVB	42	100.0	100.0	67	1x25	4587	33.33	26.19	1.1
	GAS Liander	Koningsstraat	1011ES	1011ET	GAS	KVB	38	100.0	100.0	97	G4	1525	0.0	23.68	
	Liander N.V. (NW)	Koningsstraat	1011EV	1011EW	ELK	KVB	47	100.0	100.0	45	1x35	3785	31.91	31.91	1.0
	GAS Liander	Koningsstraat	1011EV	1011EW	GAS	KVB	44	100.0	97.73	98	G4	1225	0.0	29.55	
	Liander N.V. (NW)	Korte Koningsstraat	1011EX	1011EX	ELK	KVB	27	100.0	100.0	63	1x25	2148	37.04	33.33	1.2
	GAS Liander	Korte Koningsstraat	1011EX	1011EX	GAS	KVB	25	100.0	100.0	96	G4	1192	0.0	28.0	
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011EZ	1011EZ	ELK	KVB	13	100.0	69.23	54	3x25	1696	15.38	15.38	1.0
	GAS Liander	Korte Koningsstraat	1011EZ	1011GA	GAS	KVB	31	100.0	96.77	97	G4	1026	0.0	51.61	
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011GA	1011GA	ELK	KVB	28	100.0	92.86	61	1x25	2309	75.0	64.29	1.4
Liander N.V.	Liander N.V. (NW)	Korte Koningsdwarsstraat	1011GB	1011GC	ELK	KVB	21	100.0	76.19	38	1x25	1858	71.43	71.43	1.0
	GAS Liander	Korte Koningsdwarsstraat	1011GB	1011GD	GAS	KVB	60	100.0	98.33	97	G4	1261	0.0	81.67	
Liander N.V.	Liander N.V. (NW)	Keizersstraat	1011GD	1011GD	ELK	KVB	52	94.23	96.15	65	1x35	2302	84.62	80.77	1.3
	Liander N.V. (NW)	Korte Keizersstraat	1011GG	1011GG	ELK	KVB	22	100.0	100.0	77	1x35	1407	72.73	72.73	1.0
	GAS Liander	Korte Keizersstraat	1011GG	1011GG	GAS	KVB	19	100.0	100.0	100	G4	1112	0.0	68.42	
	GAS Liander	Korte Keizersstraat	1011GH	1011GH	GAS	KVB	20	100.0	100.0	90	G4	1165	0.0	75.0	
	Liander N.V. (NW)	Korte Keizersstraat	1011GH	1011GH	ELK	KVB	24	100.0	100.0	88	1x25	1448	79.17	75.0	1.2
	GAS Liander	Korte Keizersdwarsstraat	1011GJ	1011GJ	GAS	KVB	16	100.0	100.0	100	G4	1316	0.0	81.25	
	Liander N.V. (NW)	Korte Keizersdwarsstraat	1011GJ	1011GJ	ELK	KVB	18	100.0	100.0	83	1x25	2292	83.33	83.33	1.0
	GAS Liander	Kleersloot	1011GK	1011GL	GAS	KVB	80	100.0	96.25	99	G4	781	0.0	67.5	
	Liander N.V. (NW)	Kleersloot	1011GK	1011GL	ELK	KVB	93	100.0	94.62	77	1x25	1790	67.74	65.59	1.0
	GAS Liander	Korte Dijkstraat	1011GM	1011GM	GAS	KVB	18	100.0	100.0	100	G4	1491	0.0	88.89	
	Liander N.V. (NW)	Korte Dijkstraat	1011GM	1011GM	ELK	KVB	21	100.0	95.24	62	1x25	2212	85.71	85.71	1.0
	GAS Liander	Brandewijnsteeg	1011GN	1011GN	GAS	KVB	26	100.0	96.15	96	G4	1183	0.0	65.38	
	Liander N.V. (NW)	Brandewijnsteeg	1011GN	1011GN	ELK	KVB	26	100.0	96.15	96	1x25	1686	65.38	65.38	1.0
	Liander N.V. (NW)	Krom Boomssloot	1011GP	1011GP	ELK	KVB	14	100.0	92.86	79	1x25	4665	64.29	57.14	1.2
	GAS Liander	Krom Boomssloot	1011GP	1011GR	GAS	KVB	37	100.0	100.0	100	G4	1056	0.0	64.86	
	Liander N.V. (NW)	Krom Boomssloot	1011GR	1011GR	ELK	KVB	33	100.0	93.94	70	1x25	1657	63.64	63.64	1.0
Liander N.V.	GAS Liander	Krom Boomssloot	1011GS	1011GS	GAS	KVB	36	100.0	94.44	89	G4	1412	0.0	58.33	
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011GS	1011GS	ELK	KVB	42	97.62	95.24	40	1x25	4286	66.67	61.9	1.0
	Liander N.V. (NW)	Krom Boomssloot	1011GT	1011GT	ELK	KVB	13	100.0	92.31	77	1x25	2239	84.62	84.62	1.0
	GAS Liander	Krom Boomssloot	1011GT	1011GT	GAS	KVB	10	100.0	90.0	90	G4	794	0.0	80.0	
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011GV	1011GV	ELK	KVB	20	100.0	80.0	45	3x25	1944	55.0	50.0	1.2
	GAS Liander	Krom Boomssloot	1011GV	1011GV	GAS	KVB	15	100.0	86.67	87	G4	1307	0.0	60.0	
	GAS Liander	Krom Boomssloot	1011GW	1011GW	GAS	KVB	10	100.0	80.0	60	G4	3808	0.0	60.0	
	GAS Liander	Krom Boomssloot	1011GX	1011GX	GAS	KVB	15	100.0	100.0	93	G4	1140	0.0	100.0	
	Liander N.V. (NW)	Krom Boomssloot	1011GX	1011GX	ELK	KVB	19	100.0	100.0	89	1x25	1426	94.74	94.74	1.0
	Liander N.V. (NW)	Snoekjesgracht	1011GZ	1011GZ	ELK	KVB	37	100.0	97.3	97	1x25	1552	86.49	86.49	1.0
	GAS Liander	Snoekjesgracht	1011GZ	1011GZ	GAS	KVB	34	100.0	100.0	100	G4	883	0.0	88.24	
	Liander N.V. (NW)	Snoekjessteeg	1011HA	1011HB	ELK	KVB	229	100.0	97.38	63	1x25	3207	31.88	25.33	1.1
	GAS Liander	Snoekjessteeg	1011HA	1011HB	GAS	KVB	206	100.0	99.03	98	G4	1122	0.0	19.9	
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011HC	1011HC	ELK	KVB	58	100.0	75.86	53	1x25	3738	58.62	56.9	1.0
	GAS Liander	Nieuwe Hoogstraat	1011HC	1011HC	GAS	KVB	48	100.0	79.17	96	G4	876	0.0	60.42	
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011HD	1011HD	ELK	KVB	47	100.0	55.32	51	3x25	4632	55.32	48.94	1.5
	GAS Liander	Nieuwe Hoogstraat	1011HD	1011HD	GAS	KVB	40	100.0	55.0	95	G4	1163	0.0	52.5	
	GAS Liander	Nieuwe Hoogstraat	1011HE	1011HE	GAS	KVB	18	100.0	100.0	94	G4	1329	0.0	61.11	
	GAS Liander	Nieuwe Hoogstraat	1011HG	1011HG	GAS	KVB	26	100.0	100.0	88	G4	976	0.0	96.15	
	Liander N.V. (NW)	Onkelboerensteeg	1011HH	1011HH	ELK	KVB	22	100.0	100.0	77	1x25	1954	95.45	95.45	1.0
	GAS Liander	Onkelboerensteeg	1011HH	1011HH	GAS	KVB	22	100.0	100.0	100	G4	1203	0.0	95.45	
	GAS Liander	Zandstraat	1011HJ	1011HJ	GAS	KVB	14	100.0	100.0	79	G4	1493	0.0	57.14	
	Liander N.V. (NW)	Zandstraat	1011HJ	1011HJ	ELK	KVB	16	100.0	100.0	44	1x25	2472	56.25	56.25	1.0
	Liander N.V. (NW)	Zandstraat	1011HK	1011HK	ELK	KVB	11	100.0	100.0	64	1x25	2679	81.82	72.73	1.3
	GAS Liander	Zandstraat	1011HK	1011HK	GAS	KVB	10	100.0	100.0	90	G4	1916	0.0	70.0	
	Liander N.V. (NW)	Zandstraat	1011HL	1011HL	ELK	KVB	21	100.0	100.0	67	1x25	1689	80.95	80.95	1.0
	GAS Liander	Zandstraat	1011HL	1011HL	GAS	KVB	20	100.0	100.0	100	G4	1138	0.0	80.0	
	GAS Liander	Zanddwarsstraat	1011HM	1011HP	GAS	KVB	24	100.0	100.0	83	G4	1621	0.0	95.83	
Liander N.V.	Liander N.V. (NW)	Zanddwarsstraat	1011HM	1011HP	ELK	KVB	27	100.0	96.3	59	1x25	2401	88.89	88.89	1.5
	GAS Liander	Groenburgwal	1011HR	1011HR	GAS	KVB	42	100.0	100.0	90	G4	1525	0.0	83.33	
	Liander N.V. (NW)	Groenburgwal	1011HR	1011HR	ELK	KVB	47	100.0	100.0	79	1x25	4067	85.11	85.11	1.0
Liander N.V.	Liander N.V. (NW)	Groenburgwal	1011HS	1011HS	ELK	KVB	44	100.0	95.45	41	1x25	2270	75.0	75.0	1.0
	GAS Liander	Groenburgwal	1011HS	1011HS	GAS	KVB	38	100.0	100.0	89	G4	1280	0.0	81.58	
	Liander N.V. (NW)	Groenburgwal	1011HT	1011HT	ELK	KVB	23	95.65	100.0	52	1x25	2905	95.65	95.65	1.0
	GAS Liander	Groenburgwal	1011HT	1011HT	GAS	KVB	20	100.0	100.0	90	G4	1710	0.0	95.0	
	GAS Liander	Groenburgwal	1011HV	1011HV	GAS	KVB	20	100.0	100.0	85	G4	1305	0.0	90.0	
	Liander N.V. (NW)	Groenburgwal	1011HV	1011HV	ELK	KVB	22	100.0	100.0	59	1x25	2743	90.91	90.91	1.0
	GAS Liander	Groenburgwal	1011HW	1011HW	GAS	KVB	23	100.0	100.0	91	G4	2108	0.0	78.26	
	Liander N.V. (NW)	Groenburgwal	1011HW	1011HW	ELK	KVB	29	100.0	96.55	41	1x25	3671	79.31	72.41	1.2
	GAS Liander	Groenburgwal	1011HX	1011HX	GAS	KVB	11	100.0	100.0	91	G4	1450	0.0	90.91	
	Liander N.V. (NW)	Groenburgwal	1011HX	1011HX	ELK	KVB	13	100.0	92.31	54	1x25	2136	84.62	84.62	1.0
	GAS Liander	Verversstraat	1011HZ	1011HZ	GAS	KVB	38	100.0	100.0	87	G4	1427	0.0	97.37	
	Liander N.V. (NW)	Verversstraat	1011HZ	1011HZ	ELK	KVB	42	100.0	100.0	69	1x25	3559	95.24	95.24	1.0
Liander N.V.	GAS Liander	Verversstraat	1011JA	1011JA	GAS	KVB	19	100.0	89.47	79	G4	1688	0.0	84.21	
Liander N.V.	Liander N.V. (NW)	Verversstraat	1011JA	1011JA	ELK	KVB	24	100.0	95.83	46	1x25	1947	75.0	75.0	1.0
	Liander N.V. (NW)	Zwanenburgwal	1011JB	1011JB	ELK	KVB	39	100.0	100.0	69	1x25	2164	74.36	76.92	1.0
	GAS Liander	Zwanenburgwal	1011JB	1011JB	GAS	KVB	36	100.0	97.22	89	G4	1075	0.0	75.0	
	Liander N.V. (NW)	Zwanenburgwal	1011JC	1011JG	ELK	KVB	23	100.0	91.3	48	1x35	1695	73.91	69.57	1.0
Liander N.V.	GAS Liander	Zwanenburgwal	1011JC	1011JH	GAS	KVB	92	100.0	94.57	95	G4	1411	0.0	75.0	
Liander N.V.	Liander N.V. (NW)	Zwanenburgwal	1011JH	1011JH	ELK	KVB	97	100.0	85.57	39	1x35	3577	67.01	63.92	1.1
	GAS Liander	Staalstraat	1011JJ	1011JJ	GAS	KVB	10	100.0	100.0	80	G4	2308	0.0	10.0	
Liander N.V.	GAS Liander	Staalstraat	1011JK	1011JK	GAS	KVB	12	100.0	83.33	92	G4	977	0.0	41.67	
	GAS Liander	Staalstraat	1011JL	1011JL	GAS	KVB	27	100.0	100.0	96	G4	1158	0.0	48.15	
Liander N.V.	Liander N.V. (NW)	Staalstraat	1011JM	1011JM	ELK	KVB	14	100.0	71.43	64	1x25	4955	14.29	7.14	1.1
Liander N.V.	GAS Liander	Staalstraat	1011JM	1011JM	GAS	KVB	14	100.0	71.43	86	G4	1580	0.0	7.14	
	Liander N.V. (NW)	Staalkade	1011JN	1011JN	ELK	KVB	18	100.0	100.0	44	1x25	2910	88.89	88.89	1.0
	GAS Liander	Staalkade	1011JN	1011JN	GAS	KVB	16	100.0	100.0	81	G4	1553	0.0	93.75	
	GAS Liander	Nieuwmarkt	1011JP	1011JP	GAS	KVB	11	100.0	100.0	91	G4	1909	0.0	100.0	
	GAS Liander	Nieuwmarkt	1011JR	1011JR	GAS	KVB	16	100.0	75.0	100	G4	1884	0.0	75.0	
	GAS Liander	Nieuwmarkt	1011JS	1011JT	GAS	KVB	20	100.0	100.0	75	G4	2760	0.0	35.0	
